seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
8,1986,4992,1,0,bedroom,1,0,3,5.50,1.0,19
8,1987,268627,4,10000,small_office,1,2544,6,6.50,10.0,3357
8,1988,1562520,12,49600,studio_building,1,41420,14,7.46,40.1,50309
8,1989,3371690,16,76475,studio_building,2,42560,23,7.47,65.2,88708
8,1990,5057998,19,98000,campus,2,126500,33,7.31,85.1,160353
8,1991,13667718,20,110050,campus,2,130900,44,7.28,100.0,265706
8,1992,20040372,20,148775,campus,2,135300,55,7.36,100.0,357373
8,1993,30614929,20,174675,campus,2,139700,67,7.43,100.0,465435
8,1994,40473693,20,239325,campus,2,144100,70,7.45,100.0,556873
8,1995,39794138,20,266225,campus,2,148500,72,7.45,100.0,580263
8,1996,40557002,20,274625,campus,2,152900,74,7.46,100.0,613227
8,1996,40557002,20,274625,campus,2,152900,74,7.46,100.0,613227
