seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
7,1986,13857,1,0,bedroom,1,0,2,6.75,3.5,176
7,1987,1307611,12,42800,studio_building,1,40280,8,7.44,21.7,34227
7,1988,3960021,16,57325,studio_building,2,41420,19,7.54,54.3,94820
7,1989,4592425,16,66125,studio_building,2,42560,30,7.15,69.2,116332
7,1990,4564783,18,98750,campus,2,126500,41,7.00,86.1,162785
7,1991,7869624,20,133050,campus,2,130900,52,7.00,100.0,213431
7,1992,12700687,20,165600,campus,2,135300,64,7.08,100.0,285114
7,1993,19100576,20,202225,campus,2,139700,75,7.13,100.0,361301
7,1994,27452160,20,224000,campus,2,144100,78,7.15,100.0,447132
7,1995,28422847,20,252350,campus,2,148500,80,7.17,100.0,481702
7,1996,24141365,20,262750,campus,2,152900,82,7.15,100.0,484068
7,1996,24141365,20,262750,campus,2,152900,82,7.15,100.0,484068
