seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand
6,0,1985,small,microstar_64,thrift,5.50,30.2,30.0,1.006,17,10,1,445,0,3600,8010,0,-4410,0.01,1,0.909
6,1,1985,small,microstar_64,thrift,5.80,32.2,30.0,1.073,18,9,0,980,2585,3000,6743,0,-1158,0.03,1,1.324
6,2,1985,small,microstar_64,thrift,5.40,30.1,30.0,1.003,17,8,0,785,1685,2800,6228,0,-1743,0.02,1,1.197
6,3,1986,small,microstar_64,thrift,5.80,32.8,30.0,1.094,16,8,0,1490,5709,2800,6171,0,2338,0.04,1,1.171
6,4,1986,small,microstar_64,thrift,8.40,41.0,30.0,1.366,12,8,5,133186,757976,3900,8746,0,753130,3.50,1,1.162
6,6,1986,small,microstar_64,thrift,7.20,33.9,30.0,1.129,2,3,0,14735,83204,2300,32172,27085,53332,0.39,3,1.188
6,5,1986,small,microstar_64,thrift,7.50,35.3,30.0,1.175,2,4,2,42609,243218,2600,17127,11434,228691,1.12,2,1.404
6,7,1987,small,famiclone,thrift,7.40,35.3,30.0,1.178,1,3,1,10170,48272,5100,57602,46283,-4230,0.08,4,1.129
6,8,1987,small,famiclone,meridian,8.20,37.2,30.0,1.240,2,3,1,34366,134526,9700,59293,47910,84933,0.29,4,0.728
6,10,1987,small,famiclone,meridian,8.60,40.9,30.0,1.365,1,3,0,57914,238723,9500,61660,50491,186563,0.48,3,0.955
6,9,1987,small,famiclone,meridian,8.70,39.7,30.0,1.323,3,3,0,234736,985837,8900,50407,39925,944330,1.96,3,1.137
6,11,1987,small,famiclone,meridian,8.70,43.7,30.0,1.457,3,3,0,210391,901914,9700,63644,52240,847970,1.75,4,1.052
6,12,1987,small,famiclone,northgate,8.50,45.1,30.0,1.504,1,3,1,62633,207683,16000,74993,62688,148690,0.52,4,0.801
6,14,1988,small,famiclone,northgate,9.30,50.0,30.0,1.667,1,3,1,640714,2335815,17300,95329,82056,2257786,5.34,4,1.019
6,15,1988,medium,famiclone,northgate,7.00,172.5,166.0,1.039,1,6,1,48671,231969,34300,140353,114000,125916,0.41,5,0.874
6,13,1987,small,famiclone,northgate,9.20,47.3,30.0,1.576,0,3,1,614999,2208267,16000,74993,62688,2149274,5.12,5,1.155
6,18,1988,small,famiclone,northgate,5.70,26.7,30.0,0.890,3,4,1,5168,8253,11400,34974,26196,-15321,0.04,6,0.346
6,16,1988,small,famiclone,northgate,7.30,31.5,30.0,1.050,6,8,5,64462,219009,22900,53637,36024,188272,0.54,4,0.691
6,17,1988,medium,famiclone,northgate,7.00,171.0,166.0,1.030,0,6,1,33967,154911,33400,126092,100432,62219,0.28,5,0.902
6,20,1988,medium,famiclone,northgate,7.30,169.2,166.0,1.019,1,6,1,41827,202636,32500,108551,83584,126585,0.35,5,0.662
6,19,1988,small,famiclone,northgate,7.30,34.2,30.0,1.141,1,3,1,64577,235061,10700,38855,30605,206906,0.54,4,1.056
6,22,1988,medium,famiclone,atlas,7.20,168.6,166.0,1.015,0,6,1,32045,98815,46100,103195,78920,41720,0.27,4,0.373
6,21,1988,small,famiclone,northgate,7.70,36.8,30.0,1.225,1,3,1,84706,315775,11200,41529,32937,285446,0.71,5,0.564
6,23,1988,medium,famiclone,atlas,6.60,142.4,166.0,0.858,0,6,1,41329,149560,38900,81608,61156,106852,0.34,5,0.860
6,24,1989,medium,famiclone,atlas,6.80,152.8,166.0,0.921,0,6,1,62218,240231,45000,89003,65298,196228,0.52,5,0.470
6,25,1989,medium,famiclone,atlas,8.20,167.5,166.0,1.009,0,6,1,958871,4382602,40900,98067,76548,4325435,7.99,5,0.815
6,27,1989,medium,famiclone,atlas,6.60,151.7,166.0,0.914,0,6,1,48927,188427,42600,113022,90624,118005,0.41,4,0.430
6,26,1989,medium,famiclone,atlas,7.70,152.2,166.0,0.917,0,6,1,534536,2453348,44600,80015,56536,2417933,4.45,5,1.046
6,28,1989,medium,famiclone,atlas,6.80,159.2,166.0,0.959,0,6,1,103071,441506,47700,102572,77441,386634,0.86,5,0.677
6,30,1989,medium,famiclone,atlas,6.40,145.8,166.0,0.879,2,6,0,27960,91202,43300,87102,64295,47400,0.23,6,0.340
6,29,1989,medium,famiclone,atlas,7.10,171.1,166.0,1.031,1,6,1,108637,474853,43900,126009,102900,392744,0.91,5,0.716
6,32,1989,medium,famiclone,atlas,6.80,156.0,166.0,0.940,3,6,0,47559,190160,42000,75845,53753,156315,0.40,5,0.360
6,31,1989,medium,famiclone,atlas,7.80,182.5,166.0,1.099,0,6,1,498063,2360424,45500,142362,118436,2263562,4.15,5,0.904
6,34,1989,medium,famiclone,atlas,6.40,152.4,166.0,0.918,2,6,0,38834,150497,42000,83009,60917,109488,0.32,6,0.418
6,33,1989,medium,famiclone,atlas,7.60,178.9,166.0,1.078,0,6,1,377032,1805377,46000,150370,126184,1701007,3.14,5,0.954
6,35,1990,medium,famiclone,atlas,7.60,181.2,166.0,1.091,1,6,1,350335,1697189,46400,150627,126184,1592962,2.92,5,0.921
6,36,1990,medium,famiclone,atlas,7.40,160.8,166.0,0.969,0,6,1,137036,641798,46600,95489,70984,592909,1.14,6,0.388
6,37,1990,medium,famiclone,atlas,7.50,183.7,166.0,1.106,0,6,1,231265,1124400,47100,150981,126184,1020519,1.93,4,0.844
6,38,1990,medium,famiclone,atlas,7.00,175.5,166.0,1.057,0,6,1,86053,392630,47100,95781,70984,343949,0.72,5,0.302
6,39,1990,medium,famiclone,atlas,7.80,164.4,166.0,0.990,3,6,0,627308,3183398,43000,84757,62111,3141641,5.23,5,1.060
6,40,1990,medium,famiclone,atlas,8.00,180.3,166.0,1.086,0,6,1,386667,1943460,47100,150981,126184,1839579,3.22,6,0.396
6,41,1990,medium,famiclone,atlas,7.00,163.7,166.0,0.986,2,6,0,84700,393038,43000,84757,62111,351281,0.71,5,0.810
6,42,1990,medium,famiclone,atlas,7.30,182.5,166.0,1.099,0,6,1,69574,311066,47100,150981,126184,207185,0.58,6,0.351
6,44,1990,medium,famiclone,atlas,7.30,165.1,166.0,0.995,0,5,1,91979,431407,42100,132580,110411,340927,0.77,6,0.328
6,43,1990,medium,famiclone,atlas,7.50,173.8,166.0,1.047,0,6,1,300936,1502116,47100,103467,78670,1445749,2.51,5,0.799
6,47,1991,medium,famiclone,atlas,6.00,149.5,166.0,0.900,3,6,0,18472,51093,44000,106446,83296,-11353,0.15,5,0.860
6,45,1990,medium,famiclone,atlas,7.50,150.0,166.0,0.904,1,5,0,176031,868205,38000,86192,66174,820013,1.47,7,0.885
6,46,1990,medium,famiclone,atlas,7.70,180.1,166.0,1.085,2,6,0,167399,818767,43000,133057,110411,728710,1.39,8,0.388
6,49,1991,medium,famiclone,atlas,6.60,154.1,166.0,0.928,3,6,0,33453,127813,44400,121437,98056,50776,0.28,6,0.849
6,48,1991,medium,famiclone,atlas,7.40,168.6,166.0,1.015,0,6,1,102676,480272,48300,154461,129040,374111,0.86,6,0.436
6,51,1991,medium,famiclone,atlas,6.40,157.7,166.0,0.950,2,6,0,22733,72630,44400,121437,98056,-4407,0.19,4,0.783
6,50,1991,medium,famiclone,atlas,7.80,206.9,166.0,1.246,0,7,1,136707,649765,54000,178937,150525,524828,1.14,5,0.470
6,52,1991,medium,famiclone,atlas,7.10,177.8,166.0,1.071,3,6,0,53621,231640,44400,146376,122995,129664,0.45,5,0.383
6,54,1991,medium,famiclone,atlas,7.70,182.4,166.0,1.099,2,6,0,221284,1094767,44400,161176,137795,977991,1.84,5,0.790
6,53,1991,medium,famiclone,atlas,7.70,182.4,166.0,1.099,0,6,1,158323,766344,48700,137670,112064,677374,1.32,4,0.499
6,55,1991,medium,famiclone,atlas,6.60,156.1,166.0,0.941,3,6,0,35436,138022,44400,121437,98056,60985,0.30,5,0.487
6,56,1991,medium,famiclone,atlas,7.30,173.1,166.0,1.043,2,6,0,85781,397200,44400,161176,137795,280424,0.71,5,0.765
6,57,1991,medium,famiclone,atlas,6.90,162.6,166.0,0.980,3,6,0,42312,173418,44400,121437,98056,96381,0.35,5,0.487
