seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand
1,66,1992,medium,ibm_compatible,atlas,8.60,185.4,166.0,1.117,1,6,1,427251,2410476,33400,197128,179540,2246748,4.75,6,0.390
1,65,1992,medium,ibm_compatible,atlas,7.70,179.5,166.0,1.081,0,6,1,337467,1896910,33400,188308,170720,1742002,3.75,5,0.908
1,67,1992,medium,ibm_compatible,atlas,8.30,187.2,166.0,1.128,3,6,0,434663,2455670,30600,165480,149380,2320790,4.83,5,0.720
1,69,1992,medium,ibm_compatible,atlas,6.70,164.6,166.0,0.991,0,6,1,62405,323556,33400,188308,170720,168648,0.69,5,0.785
1,68,1992,medium,ibm_compatible,atlas,8.20,189.4,166.0,1.141,1,6,1,474753,2682186,33400,206404,188816,2509182,5.28,5,0.360
1,70,1992,medium,ibm_compatible,atlas,6.60,164.6,166.0,0.992,0,6,1,41931,206446,33400,210547,192959,29299,0.47,6,0.269
1,71,1993,medium,ibm_compatible,atlas,8.40,209.8,166.0,1.264,0,6,1,480077,2712141,33900,188582,170720,2557459,5.33,5,0.727
1,72,1993,medium,ibm_compatible,atlas,8.50,207.0,166.0,1.247,1,6,1,480393,2713748,34100,227643,209680,2520205,5.34,6,0.407
1,73,1993,large,pocket_play,atlas,7.40,1364.6,1300.0,1.050,0,35,1,468104,2777763,435300,1067404,838294,2145659,5.85,1,0.982
1,74,1993,large,pocket_play,atlas,7.70,1406.0,1300.0,1.082,2,36,1,468419,2763927,451300,1297911,1060389,1917316,5.86,2,0.372
1,75,1994,large,pocket_play,atlas,7.70,1372.6,1300.0,1.056,0,36,1,465573,2731891,463800,1369868,1125739,1825823,5.82,1,1.127
1,76,1994,large,pocket_play,atlas,6.40,1305.7,1300.0,1.004,1,36,2,81100,83167,473500,1419281,1170081,-862614,1.01,2,0.470
1,77,1995,large,mega16,atlas,7.10,1330.6,1300.0,1.024,0,37,1,473150,2440687,733200,1890123,1504207,1283764,4.73,1,1.416
1,78,1995,large,mega16,atlas,6.90,1284.7,1300.0,0.988,0,36,1,152596,314510,709100,1516519,1143306,-492909,1.53,2,0.453
