seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
1,1986,234561,4,5625,small_office,3,8.13,11.1,3939
1,1987,9369392,12,33425,large_studio_floor,9,9.08,45.1,188526
1,1988,17734756,12,57975,large_studio_floor,16,9.36,86.4,432938
1,1989,32401308,12,64075,large_studio_floor,22,9.09,100.0,670698
1,1990,61091463,12,69150,large_studio_floor,28,8.90,100.0,1022077
1,1991,72905020,12,91175,large_studio_floor,33,8.78,100.0,1183419
1,1992,80501525,12,109125,large_studio_floor,39,8.69,100.0,1298260
1,1993,88794277,12,144900,large_studio_floor,45,8.62,100.0,1416250
1,1994,94545366,12,144900,large_studio_floor,47,8.67,100.0,1527262
1,1995,95690753,12,153600,large_studio_floor,48,8.70,100.0,1572327
1,1996,96787245,12,158525,large_studio_floor,49,8.72,100.0,1619419
1,1996,96787245,12,158525,large_studio_floor,49,8.72,100.0,1619419
