seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,profit,attach_pct
2,0,1985,small,microstar_64,thrift,6.00,31.7,30.0,1.057,20,10,1,591,0,3600,8010,-4410,0.02
2,1,1985,small,microstar_64,thrift,7.10,34.4,30.0,1.147,19,9,0,4656,23578,3000,6743,19835,0.12
2,2,1986,small,microstar_64,thrift,8.00,36.6,30.0,1.218,10,8,5,11121,59882,3900,8728,55054,0.29
2,5,1986,small,microstar_64,meridian,9.80,52.5,30.0,1.751,1,4,1,304000,1417557,5600,6626,1416531,8.00
2,3,1986,small,microstar_64,thrift,9.00,36.0,30.0,1.200,6,6,5,228417,1316229,3400,7506,1312123,6.01
2,6,1986,small,microstar_64,meridian,9.00,37.9,30.0,1.263,1,3,0,283040,1340382,5100,5962,1339520,7.45
2,4,1986,small,microstar_64,thrift,8.20,34.0,30.0,1.132,2,4,1,57150,331331,2200,4790,328741,1.50
2,8,1987,small,microstar_64,meridian,9.80,44.1,30.0,1.471,0,3,1,208000,1004231,5500,6462,1003269,5.47
2,9,1987,small,famiclone,northgate,9.80,44.9,30.0,1.498,0,3,1,381040,1365708,15200,11692,1369216,3.18
2,7,1986,small,microstar_64,meridian,8.00,36.0,30.0,1.201,3,3,0,65711,311133,5100,5962,310271,1.73
2,10,1987,small,famiclone,northgate,9.80,42.1,30.0,1.402,3,3,0,381040,1391580,14100,10842,1394838,3.18
2,11,1987,small,famiclone,northgate,9.80,42.0,30.0,1.398,1,3,1,381040,1415253,15200,11692,1418761,3.18
2,12,1987,small,famiclone,northgate,9.80,54.4,30.0,1.813,2,4,0,381040,1438728,16500,12712,1442516,3.18
2,15,1988,small,famiclone,atlas,9.80,42.8,30.0,1.426,0,3,0,641280,2109091,20600,10842,2118849,5.34
2,13,1987,small,famiclone,atlas,8.60,38.5,30.0,1.283,1,3,0,193438,600163,20600,10842,609921,1.61
2,14,1987,small,famiclone,atlas,9.80,49.4,30.0,1.646,1,3,1,454403,1457326,22200,11692,1467834,3.79
2,17,1988,medium,famiclone,atlas,9.00,164.0,166.0,0.988,1,6,0,641280,3177205,40200,21160,3196245,5.34
2,16,1988,medium,famiclone,atlas,7.80,150.9,166.0,0.909,3,6,0,349275,1694355,40200,21160,1713395,2.91
2,18,1988,medium,famiclone,atlas,8.50,169.2,166.0,1.020,0,6,1,641280,3223378,43800,23030,3244148,5.34
2,19,1988,medium,famiclone,atlas,9.40,188.1,166.0,1.133,0,6,1,641280,3266041,43800,23030,3286811,5.34
2,20,1988,medium,famiclone,atlas,9.80,196.0,166.0,1.181,0,6,1,960000,4994079,43800,23030,5014849,8.00
2,21,1989,medium,famiclone,atlas,8.30,170.0,166.0,1.024,0,6,1,960000,5085621,43800,23030,5106391,8.00
2,22,1989,medium,famiclone,atlas,8.00,168.8,166.0,1.017,0,6,1,960000,5088359,43800,23030,5109129,8.00
2,23,1989,medium,famiclone,atlas,9.30,185.8,166.0,1.119,0,6,1,960000,5088359,43800,23030,5109129,8.00
2,24,1989,medium,famiclone,atlas,8.40,161.1,166.0,0.970,0,5,1,960000,5093160,39000,20534,5111626,8.00
2,25,1989,medium,famiclone,atlas,9.60,186.7,166.0,1.125,0,6,1,960000,5088359,43800,23030,5109129,8.00
2,27,1990,medium,famiclone,atlas,9.40,175.9,166.0,1.060,1,6,1,656960,3468308,43800,23030,3489078,5.47
2,26,1989,medium,famiclone,atlas,8.00,164.1,166.0,0.989,3,6,0,635376,3356517,40200,21160,3375557,5.29
2,28,1990,medium,famiclone,atlas,7.40,161.5,166.0,0.973,3,6,0,147804,749956,40200,21160,768996,1.23
2,29,1990,medium,famiclone,atlas,6.60,145.7,166.0,0.878,3,6,0,51521,235230,40200,21160,254270,0.43
2,30,1990,medium,famiclone,atlas,8.70,184.4,166.0,1.111,0,6,1,656960,3468308,43800,23030,3489078,5.47
2,31,1990,medium,famiclone,atlas,8.10,154.2,166.0,0.929,0,6,1,402800,2109567,43800,23030,2130337,3.36
2,32,1991,medium,famiclone,atlas,9.60,192.1,166.0,1.157,0,6,1,402800,2109568,43800,23030,2130338,3.36
2,33,1991,medium,famiclone,atlas,8.70,174.1,166.0,1.049,2,6,0,402800,2113168,40200,21160,2132208,3.36
2,34,1991,medium,famiclone,atlas,9.30,183.8,166.0,1.107,0,6,1,402800,2109568,43800,23030,2130338,3.36
2,35,1991,medium,famiclone,atlas,9.80,213.8,166.0,1.288,0,7,1,402800,2104669,48700,25606,2127763,3.36
2,36,1991,medium,famiclone,atlas,8.40,177.5,166.0,1.069,1,6,1,321899,1677070,43800,23030,1697840,2.68
2,37,1992,medium,famiclone,atlas,9.20,179.3,166.0,1.080,0,6,1,202160,1036948,43800,23030,1057718,1.68
2,39,1992,medium,ibm_compatible,atlas,9.40,181.7,166.0,1.095,3,6,0,427840,2514969,26400,13911,2527458,4.75
2,38,1992,medium,ibm_compatible,atlas,8.20,168.2,166.0,1.013,1,6,1,427840,2512670,28700,15121,2526249,4.75
2,40,1992,medium,ibm_compatible,atlas,9.50,186.2,166.0,1.121,1,6,1,427840,2512670,28700,15121,2526249,4.75
2,41,1992,medium,ibm_compatible,atlas,9.80,199.2,166.0,1.200,3,6,0,427840,2514970,26400,13911,2527459,4.75
