seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,profit,attach_pct
5,0,1985,small,microstar_64,thrift,6.00,30.2,30.0,1.008,22,9,2,1003,2218,3500,7743,-2025,0.03
5,1,1985,small,microstar_64,thrift,8.40,36.2,30.0,1.207,11,9,0,60214,340727,3000,6743,336984,1.58
5,4,1986,small,microstar_64,meridian,9.80,55.4,30.0,1.846,2,4,1,304000,1411340,6200,7323,1410217,8.00
5,6,1986,small,microstar_64,meridian,9.80,54.4,30.0,1.813,1,4,1,304000,1447401,6400,7562,1446239,8.00
5,3,1986,small,microstar_64,thrift,7.90,31.8,30.0,1.061,2,3,0,88650,514182,2000,4546,511636,2.33
5,2,1985,small,microstar_64,thrift,9.40,39.1,30.0,1.302,3,4,4,268843,1544765,3000,6568,1541197,7.07
5,7,1986,small,microstar_64,meridian,9.80,53.0,30.0,1.768,1,4,1,304000,1469361,6400,7562,1468199,8.00
5,5,1986,small,microstar_64,meridian,8.30,34.8,30.0,1.161,2,3,0,95910,449053,5100,5962,448191,2.52
5,9,1986,small,microstar_64,northgate,9.80,43.9,30.0,1.465,1,3,0,304000,1228580,7800,5962,1230418,8.00
5,10,1987,small,microstar_64,northgate,9.80,46.8,30.0,1.561,1,3,1,208000,852571,8400,6462,854509,5.47
5,8,1986,small,microstar_64,northgate,7.90,34.3,30.0,1.145,1,3,0,188171,749911,7800,5962,751749,4.95
5,11,1987,small,famiclone,northgate,9.00,34.7,30.0,1.156,2,3,0,381040,1430181,14100,10842,1433439,3.18
5,12,1987,small,famiclone,atlas,9.80,40.5,30.0,1.349,2,3,0,381040,1186644,20600,10842,1196402,3.18
5,13,1987,small,famiclone,atlas,9.80,42.2,30.0,1.408,0,3,1,381040,1209818,22200,11692,1220326,3.18
5,14,1987,small,famiclone,atlas,9.80,48.0,30.0,1.600,1,3,1,381040,1234593,22200,11692,1245101,3.18
5,15,1987,small,famiclone,atlas,9.80,46.6,30.0,1.553,3,3,1,381040,1259365,22200,11692,1269873,3.18
5,16,1987,small,famiclone,atlas,9.80,43.0,30.0,1.435,2,3,0,381040,1285740,20600,10842,1295498,3.18
5,17,1987,small,famiclone,atlas,9.80,44.0,30.0,1.465,3,3,0,641280,2219627,20600,10842,2229385,5.34
5,18,1988,small,famiclone,atlas,9.80,46.0,30.0,1.532,1,3,0,641280,2261320,20600,10842,2271078,5.34
5,19,1988,medium,famiclone,atlas,8.90,175.4,166.0,1.057,0,6,1,641280,3364167,43800,23030,3384937,5.34
