seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
5,1986,523588,8,15650,professional_studio,3,7.93,10.2,8341
5,1987,8435609,12,31350,large_studio_floor,10,8.71,44.9,164860
5,1988,16892253,12,46175,large_studio_floor,18,9.15,92.0,411456
5,1989,32636709,12,53075,large_studio_floor,23,9.16,100.0,717639
5,1990,51251833,12,57700,large_studio_floor,29,8.95,100.0,965148
5,1991,63445470,12,89300,large_studio_floor,35,8.87,100.0,1169982
5,1992,72849389,12,104525,large_studio_floor,40,8.92,100.0,1340310
5,1993,83072156,12,139125,large_studio_floor,46,8.93,100.0,1498807
5,1994,87737014,12,139125,large_studio_floor,47,8.95,100.0,1591393
5,1995,89001001,12,139125,large_studio_floor,48,8.96,100.0,1636457
5,1996,90329475,12,144550,large_studio_floor,49,8.98,100.0,1683549
5,1996,90329475,12,144550,large_studio_floor,49,8.98,100.0,1683549
