seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
2,1986,15017,1,0,bedroom,2,6.55,2.9,199
2,1987,4152133,12,47325,large_studio_floor,8,8.14,29.5,76321
2,1988,12076044,12,48525,large_studio_floor,15,8.83,70.0,294776
2,1989,28640872,12,58175,large_studio_floor,21,8.90,99.8,600656
2,1990,55182374,12,75050,large_studio_floor,27,8.83,100.0,990670
2,1991,66462479,12,98125,large_studio_floor,32,8.71,100.0,1156441
2,1992,75956986,12,102425,large_studio_floor,37,8.77,100.0,1325552
2,1993,86675572,12,131700,large_studio_floor,43,8.80,100.0,1497529
2,1994,93402553,12,139025,large_studio_floor,45,8.82,100.0,1606606
2,1995,94636269,12,156650,large_studio_floor,46,8.84,100.0,1651670
2,1996,95679900,12,161850,large_studio_floor,47,8.86,100.0,1698762
2,1996,95679900,12,161850,large_studio_floor,47,8.86,100.0,1698762
