seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
3,1986,2239,1,0,bedroom,2,6.40,2.9,38
3,1987,2858288,12,39350,large_studio_floor,7,7.66,21.5,46998
3,1988,9524002,12,39350,large_studio_floor,15,8.32,59.6,214141
3,1989,19241521,12,42900,large_studio_floor,20,8.22,76.6,392569
3,1990,41265147,12,54750,large_studio_floor,26,8.28,100.0,712974
3,1991,56124278,12,54750,large_studio_floor,31,8.34,100.0,941528
3,1992,62149919,12,86250,large_studio_floor,37,8.33,100.0,1043847
3,1993,71615610,12,99075,large_studio_floor,42,8.41,100.0,1194656
3,1994,76803250,12,132150,large_studio_floor,44,8.42,100.0,1278991
3,1995,78109587,12,144650,large_studio_floor,45,8.46,100.0,1324054
3,1996,79331580,12,149750,large_studio_floor,46,8.48,100.0,1371146
3,1996,79331580,12,149750,large_studio_floor,46,8.48,100.0,1371146
