seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
4,1986,11920,1,0,bedroom,3,6.27,3.6,116
4,1987,4291923,12,43175,large_studio_floor,7,8.06,25.5,80017
4,1988,12370335,12,44325,large_studio_floor,15,8.82,70.1,296992
4,1989,22093388,12,61575,large_studio_floor,20,8.68,89.4,490393
4,1990,38642571,12,78750,large_studio_floor,26,8.52,100.0,730422
4,1991,53268783,12,86725,large_studio_floor,31,8.64,100.0,988370
4,1992,60609612,12,97400,large_studio_floor,37,8.63,100.0,1120372
4,1993,71066250,12,104450,large_studio_floor,43,8.68,100.0,1281133
4,1994,76653958,12,123000,large_studio_floor,44,8.70,100.0,1380081
4,1995,78045242,12,141000,large_studio_floor,45,8.73,100.0,1425146
4,1996,79276563,12,158050,large_studio_floor,46,8.75,100.0,1472238
4,1996,79276563,12,158050,large_studio_floor,46,8.75,100.0,1472238
