seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
9,0,1985,small,microstar_64,thrift,4.00,20.6,28.0,0.736,21,10,1,73,0,3500,7773,0,-4273,0.00,1,1.199,1,2
9,1,1985,small,microstar_64,thrift,5.10,22.7,28.0,0.811,16,9,0,80,0,3000,6743,0,-3743,0.00,1,1.127,1,2
9,2,1985,small,microstar_64,thrift,4.30,21.4,28.0,0.766,12,8,0,76,0,2800,6228,0,-3428,0.00,1,0.960,1,2
9,3,1986,small,microstar_64,thrift,6.90,28.1,28.0,1.003,13,9,0,1783,7071,3100,6945,0,3226,0.05,1,1.157,1,2
9,4,1986,small,microstar_64,thrift,7.50,31.2,28.0,1.114,5,7,5,2328,9624,3700,8231,0,5093,0.06,1,0.775,1,2
9,5,1987,small,microstar_64,thrift,8.30,34.1,28.0,1.216,7,7,5,8527,45280,3700,8291,0,40689,0.22,1,0.978,1,2
9,6,1987,small,famiclone,thrift,7.70,31.3,28.0,1.118,3,7,4,4089,14840,6400,14163,0,7077,0.03,2,0.834,1,2
9,7,1987,small,famiclone,thrift,7.90,33.2,28.0,1.186,4,7,5,5799,23438,6800,15064,0,15174,0.05,1,0.883,1,2
9,8,1988,small,famiclone,thrift,7.20,34.0,28.0,1.215,9,7,5,3530,11686,6800,15139,0,3347,0.03,1,1.208,1,2
9,9,1988,small,famiclone,thrift,7.50,35.8,28.0,1.277,7,7,5,5717,23024,7000,15445,0,14579,0.05,1,0.845,1,2
9,10,1988,small,famiclone,meridian,7.00,29.8,28.0,1.063,3,6,2,5052,11168,10000,11768,0,9400,0.04,2,0.872,1,2
9,11,1988,small,famiclone,meridian,8.70,38.0,28.0,1.357,3,6,4,281695,1167412,11600,13620,0,1165392,2.35,1,1.106,1,2
9,12,1989,small,famiclone,meridian,8.10,43.5,28.0,1.554,3,4,2,81531,334907,8700,31930,21702,311677,0.68,2,1.178,5,2
9,13,1989,medium,famiclone,meridian,5.30,662.0,983.0,0.673,1,9,1,59038,339662,27300,120595,88431,246367,0.49,3,0.683,12,5
9,14,1989,medium,famiclone,meridian,5.10,714.4,983.0,0.727,0,7,1,37781,210466,24200,121288,92790,113378,0.31,4,1.018,12,5
9,18,1990,small,famiclone,meridian,6.90,28.9,28.0,1.031,7,7,5,1503,0,14100,55964,39347,-41864,0.01,4,0.251,3,2
9,15,1989,medium,famiclone,meridian,7.40,885.8,983.0,0.901,0,7,1,577823,3559742,24200,121288,92790,3462654,4.82,3,0.783,12,5
9,16,1989,medium,famiclone,meridian,7.20,869.2,983.0,0.884,0,7,1,259490,1596221,24200,123076,94578,1497345,2.16,4,0.927,13,5
9,20,1990,small,famiclone,meridian,6.80,32.3,28.0,1.155,3,5,2,1185,0,10300,49705,37605,-39405,0.01,5,0.354,4,2
