seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
4,0,1985,small,microstar_64,thrift,4.00,20.5,28.0,0.733,17,10,1,73,0,3500,7773,0,-4273,0.00,1,0.949,1,2
4,1,1985,small,microstar_64,thrift,4.50,21.8,28.0,0.779,19,9,0,73,0,3000,6743,0,-3743,0.00,1,0.993,1,2
4,2,1985,small,microstar_64,thrift,5.80,24.6,28.0,0.878,9,8,0,245,0,2800,6228,0,-3428,0.01,1,1.028,1,2
4,3,1986,small,microstar_64,thrift,6.60,28.4,28.0,1.013,15,8,0,2120,9226,2900,6415,0,5711,0.06,1,1.346,1,2
4,4,1986,small,microstar_64,thrift,6.70,31.2,28.0,1.116,11,7,5,552,0,3700,8231,0,-4531,0.01,1,0.989,1,2
4,5,1986,small,microstar_64,thrift,7.00,30.2,28.0,1.079,17,7,2,1632,6271,3100,6930,0,2441,0.04,1,1.132,1,2
4,6,1987,small,famiclone,thrift,5.00,26.6,28.0,0.949,16,7,0,79,0,4800,10559,0,-5759,0.00,1,1.032,1,2
4,7,1988,small,famiclone,thrift,4.20,24.1,28.0,0.861,9,7,0,79,0,4900,10815,0,-5915,0.00,1,1.285,1,2
4,8,1989,small,famiclone,thrift,5.50,26.1,28.0,0.933,12,6,0,914,132,4600,10152,0,-5420,0.01,1,1.390,1,2
4,9,1991,small,famiclone,thrift,6.50,30.8,28.0,1.099,16,7,0,1400,1968,5300,11672,0,-4404,0.01,1,1.356,1,2
4,10,1992,small,ibm_compatible,thrift,5.80,27.7,28.0,0.988,14,7,0,469,0,3400,7470,0,-4070,0.01,1,1.530,1,2
4,11,1992,small,ibm_compatible,thrift,6.50,29.4,28.0,1.049,9,6,0,1214,3923,3100,6813,0,210,0.01,1,1.292,1,2
4,12,1992,small,ibm_compatible,thrift,8.20,38.6,28.0,1.378,13,6,5,23889,134106,4600,10198,0,128508,0.27,1,1.064,1,2
4,13,1993,small,ibm_compatible,thrift,8.70,37.1,28.0,1.326,3,5,2,69095,399573,3500,9534,1836,393539,0.77,2,1.092,2,2
4,15,1993,medium,pocket_play,meridian,7.20,867.0,983.0,0.882,3,6,2,511668,3078525,21400,71362,46240,3028563,6.40,3,1.050,6,5
4,14,1993,small,pocket_play,meridian,8.30,50.9,28.0,1.817,3,3,1,156374,634257,7800,17913,8794,624144,1.95,3,0.942,4,2
4,17,1994,small,pocket_play,meridian,5.30,21.3,28.0,0.762,14,9,5,437,0,16900,43103,23256,-26203,0.01,2,1.258,1,2
4,16,1993,medium,pocket_play,meridian,7.40,975.2,983.0,0.992,2,7,3,469316,2832134,28500,153685,120181,2706949,5.87,4,1.058,12,5
4,18,1994,small,mega16,meridian,5.40,22.3,28.0,0.797,3,8,4,765,0,22700,47364,20672,-24664,0.01,1,0.982,1,2
4,19,1994,large,pocket_play,meridian,7.20,8532.9,8387.0,1.017,2,41,3,239779,1717888,287300,1027189,689246,977999,3.00,1,0.844,15,10
4,20,1994,small,mega16,meridian,8.50,43.9,28.0,1.567,3,6,5,97527,379997,21400,55211,30044,346186,0.98,2,0.420,2,2
4,21,1995,small,mega16,meridian,8.80,42.2,28.0,1.506,3,4,2,253832,1037413,13900,37332,21000,1013981,2.54,3,0.986,2,2
4,22,1995,small,optix_cd,meridian,9.00,42.9,28.0,1.531,3,3,2,220639,893049,16400,37687,18375,871762,1.58,4,0.721,2,2
4,23,1995,small,optix_cd,northgate,8.80,46.6,28.0,1.664,3,3,3,199851,650371,26500,38752,18375,638119,1.43,4,1.021,2,2
4,24,1995,large,mega16,northgate,6.50,7641.4,8387.0,0.911,3,39,3,116345,185619,618400,1111762,636052,-307743,1.16,4,0.789,14,10
4,26,1995,small,optix_cd,northgate,8.10,50.2,28.0,1.793,3,3,0,56504,175688,19800,29085,13892,166403,0.40,6,0.981,3,2
4,25,1995,small,optix_cd,northgate,8.70,46.8,28.0,1.672,3,4,3,563639,1904474,30100,46744,23625,1887830,4.03,5,0.857,2,2
4,28,1996,small,optix_cd,northgate,8.70,52.0,28.0,1.858,2,3,1,182593,618291,22500,34702,17365,606089,1.30,6,0.905,3,2
4,29,1996,small,optix_cd,northgate,8.40,43.2,28.0,1.542,1,2,0,148484,506756,18400,28674,14520,496482,1.06,6,0.881,4,2
4,27,1995,small,optix_cd,northgate,8.70,53.1,28.0,1.897,3,3,1,533078,1833768,22400,34583,17365,1821585,3.81,6,0.919,3,2
4,30,1996,medium,optix_cd,northgate,7.90,933.1,983.0,0.949,0,7,1,778708,4003406,64400,122426,72900,3945380,5.56,7,0.790,5,5
4,31,1996,medium,optix_cd,northgate,6.70,845.6,983.0,0.860,0,7,1,433646,2222670,64400,131324,81798,2155746,3.10,5,0.828,5,5
4,32,1996,large,optix_cd,northgate,7.20,8308.3,8387.0,0.991,3,41,2,319578,1465022,844300,1341300,691852,968022,2.28,6,0.595,15,10
4,33,1996,medium,optix_cd,northgate,6.00,809.9,983.0,0.824,2,7,0,103880,495214,59700,128639,82684,426275,0.74,6,0.972,6,5
4,34,1996,medium,optix_cd,northgate,8.10,969.9,983.0,0.987,0,7,1,694043,3647985,66800,151141,99792,3563644,4.96,5,1.137,6,5
4,35,1997,medium,optix_cd,atlas,7.60,958.9,983.0,0.975,2,7,0,204233,784803,90300,140699,93184,734404,1.46,5,0.605,6,5
4,36,1997,medium,ibm_compatible,atlas,7.50,993.0,983.0,1.010,0,7,1,715998,3608589,37800,129747,109872,3516642,7.96,5,0.673,6,5
4,37,1997,large,optix_cd,atlas,7.40,8517.8,8387.0,1.016,2,41,1,446353,1421790,1238500,1428387,776538,1231903,3.19,3,0.547,14,10
4,38,1997,medium,ibm_compatible,atlas,7.10,923.1,983.0,0.939,0,7,1,489143,2504862,37800,145740,125865,2396922,5.43,4,0.734,6,5
