seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
5,1986,4875,1,0,bedroom,2,5.45,1.4,33
5,1987,707618,10,25800,large_studio_floor,6,6.42,9.2,8249
5,1988,2983057,12,37850,large_studio_floor,14,7.16,34.0,55386
5,1989,6306946,12,43425,large_studio_floor,20,7.35,53.5,109289
5,1990,27525148,12,51575,large_studio_floor,26,7.65,79.6,449796
5,1991,38067533,12,63675,large_studio_floor,32,7.77,100.0,633093
5,1992,44279824,12,81500,large_studio_floor,37,7.86,100.0,751282
5,1993,52371557,12,99625,large_studio_floor,43,7.97,100.0,888895
5,1994,57943734,12,123950,large_studio_floor,45,8.04,100.0,988409
5,1995,59248789,12,123950,large_studio_floor,46,8.05,100.0,1020954
5,1996,60452437,12,138825,large_studio_floor,47,8.08,100.0,1065734
5,1996,60452437,12,138825,large_studio_floor,47,8.08,100.0,1065734
