seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
4,1986,-932,1,0,bedroom,2,4.60,0.4,0
4,1987,134789,2,5150,shared_workspace,7,5.86,6.4,1397
4,1988,518261,7,22775,professional_studio,14,6.29,18.5,9260
4,1989,1484120,12,46700,large_studio_floor,20,6.64,34.8,26376
4,1990,12627411,12,46700,large_studio_floor,25,6.95,53.6,209203
4,1991,21151191,12,66700,large_studio_floor,31,7.21,77.3,349942
4,1992,28275744,12,89775,large_studio_floor,37,7.45,100.0,478908
4,1993,33000505,12,104375,large_studio_floor,42,7.52,100.0,558763
4,1994,37815262,12,129275,large_studio_floor,44,7.55,100.0,627915
4,1995,39073847,12,149575,large_studio_floor,45,7.58,100.0,664614
4,1996,39993444,12,169675,large_studio_floor,46,7.62,100.0,707506
4,1996,39993444,12,169675,large_studio_floor,46,7.62,100.0,707506
