seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct
4,0,1985,small,microstar_64,thrift,4.70,31.2,38.0,0.822,18,10,1,181,0,3500,7773,0,-4273,0.00
4,1,1985,small,microstar_64,thrift,4.50,32.5,38.0,0.855,19,10,0,94,0,3200,7036,0,-3836,0.00
4,2,1986,small,microstar_64,thrift,6.50,36.9,38.0,0.970,14,9,0,3793,18638,3000,6743,0,14895,0.10
4,3,1986,small,microstar_64,thrift,7.30,39.3,38.0,1.035,3,9,3,25033,139530,3700,8243,0,134987,0.66
4,4,1986,small,microstar_64,thrift,6.60,35.6,38.0,0.937,3,6,3,4079,20562,2900,12446,5940,11016,0.11
4,5,1986,small,microstar_64,thrift,5.90,29.6,38.0,0.779,3,3,1,1480,6740,1800,11032,7128,-2492,0.04
4,6,1986,small,microstar_64,thrift,5.50,28.8,38.0,0.759,2,3,0,1703,8337,1500,9344,5940,493,0.04
4,7,1987,small,microstar_64,thrift,6.50,32.6,38.0,0.858,2,3,1,2877,14822,1800,11032,7128,5590,0.08
4,8,1987,small,famiclone,thrift,5.30,28.8,38.0,0.759,2,3,1,1100,2434,3300,14476,7128,-8742,0.01
4,9,1987,small,famiclone,thrift,7.60,38.0,38.0,0.999,2,3,2,17692,88495,3700,16514,8316,75681,0.15
4,10,1987,small,famiclone,thrift,7.20,36.7,38.0,0.965,3,3,2,8867,42789,3700,16514,8316,29975,0.07
4,13,1987,small,famiclone,meridian,4.20,24.9,38.0,0.655,0,2,0,237,0,5700,22353,15600,-16653,0.00
4,11,1987,small,famiclone,meridian,8.10,42.0,38.0,1.106,3,4,1,47177,190317,7300,21885,13244,175732,0.39
4,14,1988,small,famiclone,meridian,6.90,37.1,38.0,0.977,1,3,0,10719,38849,6700,28050,20147,17499,0.09
4,12,1987,small,famiclone,meridian,8.20,38.7,38.0,1.019,1,3,1,124787,520922,6700,20557,12668,507065,1.04
4,15,1988,medium,famiclone,meridian,7.70,163.7,166.0,0.986,0,6,1,31501,179901,17400,70568,50080,126733,0.26
4,16,1988,medium,famiclone,meridian,7.80,158.8,166.0,0.957,0,6,1,34226,197740,18300,79687,58216,136353,0.29
4,17,1988,medium,famiclone,meridian,8.10,161.5,166.0,0.973,2,6,0,98412,608817,17400,78647,58176,547570,0.82
4,18,1988,medium,famiclone,northgate,7.20,153.2,166.0,0.923,3,6,0,49532,231694,27500,89977,68817,169217,0.41
4,19,1988,medium,famiclone,northgate,7.00,149.2,166.0,0.899,0,6,1,20248,76819,29900,108300,85270,-1581,0.17
4,20,1989,medium,famiclone,northgate,9.60,189.3,166.0,1.141,0,6,1,958721,5055025,29900,109246,86216,4975679,7.99
4,21,1989,medium,famiclone,northgate,6.70,147.2,166.0,0.887,3,6,0,50623,245599,27500,96599,75439,176500,0.42
4,22,1989,medium,famiclone,northgate,7.30,160.0,166.0,0.964,1,6,0,134171,699892,27500,96599,75439,630793,1.12
