seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
3,1986,1269,1,0,bedroom,3,5.17,1.4,9
3,1987,62428,1,0,bedroom,5,5.86,5.8,507
3,1988,93560,2,2925,shared_workspace,8,6.30,12.2,1273
3,1989,3577060,12,46450,large_studio_floor,14,6.85,29.7,77647
3,1990,16357873,12,51500,large_studio_floor,19,7.17,47.6,265864
3,1991,25271677,12,64375,large_studio_floor,25,7.37,68.6,396011
3,1992,31018815,12,87550,large_studio_floor,30,7.52,88.1,499062
3,1993,38806943,12,91100,large_studio_floor,36,7.67,100.0,622182
3,1994,44213621,12,123725,large_studio_floor,38,7.77,100.0,721397
3,1995,45445238,12,132850,large_studio_floor,39,7.81,100.0,761540
3,1996,46446597,12,160425,large_studio_floor,40,7.82,100.0,791874
3,1996,46446597,12,160425,large_studio_floor,40,7.82,100.0,791874
