seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct
3,0,1985,small,microstar_64,thrift,4.70,29.1,38.0,0.766,12,9,2,93,0,3600,7980,0,-4380,0.00
3,1,1985,small,microstar_64,thrift,4.70,31.7,38.0,0.833,15,9,0,87,0,3000,6743,0,-3743,0.00
3,2,1985,small,microstar_64,thrift,6.10,32.9,38.0,0.865,12,8,0,1026,3055,2800,6228,0,-373,0.03
3,3,1986,small,microstar_64,thrift,6.50,35.9,38.0,0.946,10,7,4,6637,34478,3500,7728,0,30250,0.17
3,4,1986,small,microstar_64,thrift,7.30,39.0,38.0,1.026,7,8,5,7274,37943,3800,8491,0,33252,0.19
3,5,1987,small,microstar_64,thrift,6.60,35.8,38.0,0.943,4,7,5,2902,13042,3700,8228,0,8514,0.08
3,6,1987,small,famiclone,thrift,7.00,39.8,38.0,1.046,7,8,5,4870,18365,7000,15550,0,9815,0.04
3,7,1987,small,famiclone,thrift,7.50,40.3,38.0,1.061,12,7,5,11127,51810,6400,14297,0,43913,0.09
3,10,1988,small,famiclone,meridian,4.90,27.8,38.0,0.732,3,3,0,1140,0,5900,12901,5970,-7001,0.01
3,8,1988,small,famiclone,meridian,7.00,38.3,38.0,1.009,2,4,2,23776,91524,7900,14074,4725,85350,0.20
3,9,1988,small,famiclone,meridian,6.70,34.3,38.0,0.901,2,3,2,16415,61915,7100,14588,6282,54427,0.14
3,11,1988,small,famiclone,meridian,7.70,36.5,38.0,0.961,2,3,1,87458,361902,6600,14888,7107,353614,0.73
3,12,1988,small,famiclone,meridian,9.80,49.0,38.0,1.291,3,4,2,694059,2938610,8900,30530,20064,2916980,5.78
3,14,1989,medium,famiclone,meridian,7.40,161.2,166.0,0.971,0,6,1,93417,579241,19600,108782,85752,490059,0.78
3,13,1988,medium,famiclone,meridian,9.40,198.0,166.0,1.193,3,7,4,706176,4440627,25200,133174,103533,4332653,5.88
3,15,1989,medium,famiclone,northgate,7.90,161.9,166.0,0.975,0,6,1,361334,1872369,29900,108782,85752,1793487,3.01
3,16,1989,medium,famiclone,northgate,7.90,156.8,166.0,0.944,0,6,1,227025,1177372,29900,108782,85752,1098490,1.89
3,17,1989,medium,famiclone,northgate,9.40,178.0,166.0,1.073,1,6,1,950273,5074041,29900,108782,85752,4995159,7.92
3,18,1989,medium,famiclone,northgate,7.70,165.3,166.0,0.996,0,6,1,200952,1066798,29900,108782,85752,987916,1.67
3,19,1990,medium,famiclone,northgate,8.90,172.7,166.0,1.040,2,6,0,439297,2391397,27500,102570,81410,2316327,3.66
3,20,1990,medium,famiclone,northgate,6.90,163.8,166.0,0.987,0,6,1,50442,251650,29900,118110,95080,163440,0.42
3,21,1990,medium,famiclone,northgate,8.40,168.9,166.0,1.018,3,6,0,395888,2194516,27500,104355,83195,2117661,3.30
3,22,1990,medium,famiclone,northgate,9.20,184.3,166.0,1.110,1,6,1,655317,3690367,29900,127023,103993,3593244,5.46
3,23,1990,medium,famiclone,atlas,7.20,158.7,166.0,0.956,2,6,0,130978,558512,40200,125152,103992,473560,1.09
3,24,1990,medium,famiclone,atlas,7.40,162.2,166.0,0.977,3,6,0,89006,370009,40200,125152,103992,285057,0.74
3,25,1991,medium,famiclone,atlas,7.00,161.9,166.0,0.975,0,6,1,31758,103904,43800,141878,118848,5826,0.26
3,26,1991,medium,famiclone,atlas,8.60,176.7,166.0,1.065,1,6,0,401883,1842299,40200,136702,115542,1745797,3.35
3,27,1991,medium,famiclone,atlas,8.20,166.5,166.0,1.003,1,6,1,264117,1211535,43800,155078,132048,1100257,2.20
3,28,1991,medium,famiclone,atlas,8.80,168.1,166.0,1.012,0,6,1,400639,1884403,43800,157996,134966,1770207,3.34
3,29,1991,medium,famiclone,atlas,8.80,171.7,166.0,1.034,0,6,1,316919,1504668,43800,171808,148778,1376660,2.64
3,30,1992,medium,famiclone,atlas,8.70,181.4,166.0,1.093,3,6,0,201500,959073,40200,157004,135844,842269,1.68
3,31,1992,medium,ibm_compatible,atlas,7.50,162.1,166.0,0.976,3,6,0,183387,998560,26400,155339,141428,869621,2.04
3,32,1992,medium,ibm_compatible,atlas,9.80,188.0,166.0,1.133,0,6,1,426063,2373588,28700,176753,161632,2225535,4.73
3,33,1992,medium,ibm_compatible,atlas,9.40,184.1,166.0,1.109,3,6,0,425879,2409629,26400,158615,144704,2277414,4.73
3,34,1992,medium,ibm_compatible,atlas,7.80,160.3,166.0,0.965,3,6,0,269205,1513453,26400,161072,147161,1378781,2.99
3,35,1992,medium,ibm_compatible,atlas,7.40,159.5,166.0,0.961,3,6,0,177805,990641,26400,161072,147161,855969,1.98
3,36,1993,medium,ibm_compatible,atlas,9.80,196.6,166.0,1.185,1,6,1,478787,2709962,28700,183305,168184,2555357,5.32
3,37,1993,large,pocket_play,atlas,9.30,1359.5,1300.0,1.046,0,36,1,585610,3644127,375500,1139797,942188,2879830,7.32
3,38,1994,large,pocket_play,atlas,9.30,1485.8,1300.0,1.143,0,36,1,466840,2828888,375500,1323741,1126132,1880647,5.84
3,39,1995,large,mega16,atlas,8.10,1329.6,1300.0,1.023,0,37,1,489399,2703587,579300,1602987,1298096,1679900,4.89
