seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
1,1986,6020,1,0,bedroom,2,5.95,1.8,106
1,1987,62242,1,0,bedroom,6,6.27,7.0,597
1,1988,349219,6,12525,professional_studio,11,6.83,21.0,5770
1,1989,1062350,12,38200,large_studio_floor,17,7.01,36.5,17971
1,1990,10248738,12,40225,large_studio_floor,22,7.30,56.0,162682
1,1991,24626342,12,55900,large_studio_floor,28,7.60,82.7,403666
1,1992,31874223,12,76200,large_studio_floor,34,7.78,100.0,532111
1,1993,40823369,12,102825,large_studio_floor,39,7.93,100.0,683154
1,1994,46150579,12,102825,large_studio_floor,41,7.97,100.0,764558
1,1995,47575949,12,139875,large_studio_floor,42,8.00,100.0,802833
1,1996,48641902,12,152300,large_studio_floor,43,8.01,100.0,836999
1,1996,48641902,12,152300,large_studio_floor,43,8.01,100.0,836999
