seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
6,1986,4445,1,0,bedroom,3,4.87,0.0,10
6,1987,7564,1,0,bedroom,6,5.13,0.7,44
6,1988,64367,1,0,bedroom,9,5.67,5.9,781
6,1989,783397,10,33000,large_studio_floor,14,6.08,15.2,9963
6,1990,4275418,12,38850,large_studio_floor,19,6.40,27.8,61871
6,1991,8500543,12,41750,large_studio_floor,25,6.72,46.4,127018
6,1992,12164122,12,60800,large_studio_floor,31,7.01,69.5,194419
6,1993,18199661,12,80075,large_studio_floor,36,7.23,91.0,302573
6,1994,20624256,12,114475,large_studio_floor,38,7.30,99.6,358774
6,1995,22481379,12,135100,large_studio_floor,39,7.33,100.0,394341
6,1996,22573509,12,135100,large_studio_floor,40,7.33,100.0,409636
6,1996,22573509,12,135100,large_studio_floor,40,7.33,100.0,409636
