seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
7,1986,2476,1,0,bedroom,3,5.00,0.0,2
7,1987,5186,1,0,bedroom,6,4.93,0.6,2
7,1988,3506,1,0,bedroom,6,4.93,0.6,2
7,1989,47227,1,0,shared_workspace,8,5.20,2.4,438
7,1990,7388516,12,35950,large_studio_floor,13,6.10,16.7,88511
7,1991,14152275,12,35950,large_studio_floor,18,6.59,33.3,181542
7,1992,16939615,12,51175,large_studio_floor,24,6.85,51.0,229094
7,1993,23385601,12,60050,large_studio_floor,30,7.17,76.0,329539
7,1994,28362247,12,85300,large_studio_floor,31,7.22,80.2,402909
7,1995,29739096,12,105375,large_studio_floor,32,7.25,84.2,433792
7,1996,30976373,12,138750,large_studio_floor,33,7.32,89.6,476624
7,1996,30976373,12,138750,large_studio_floor,33,7.32,89.6,476624
