seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
8,1986,4884,1,0,bedroom,3,5.53,1.6,25
8,1987,17012,1,0,bedroom,6,5.50,2.6,147
8,1988,153147,3,7075,shared_workspace,9,6.07,9.7,2145
8,1989,1679140,12,40525,large_studio_floor,14,6.54,23.0,25672
8,1990,9496661,12,40525,large_studio_floor,19,6.90,39.8,130986
8,1991,20967219,12,49775,large_studio_floor,25,7.30,65.6,311490
8,1992,28433333,12,74125,large_studio_floor,30,7.56,89.1,451341
8,1993,36279526,12,112925,large_studio_floor,36,7.74,100.0,586188
8,1994,41222736,12,112925,large_studio_floor,38,7.78,100.0,660209
8,1995,42385460,12,147025,large_studio_floor,39,7.79,100.0,689754
8,1996,43284261,12,164400,large_studio_floor,40,7.80,100.0,722049
8,1996,43284261,12,164400,large_studio_floor,40,7.80,100.0,722049
