seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
5,1986,4875,1,0,bedroom,2,5.45,1.4,33
5,1987,707618,10,25800,large_studio_floor,6,6.42,9.2,8249
5,1988,3027869,12,37850,large_studio_floor,14,7.17,34.3,56327
5,1989,12690468,12,46450,large_studio_floor,20,7.56,59.2,220532
5,1990,36134400,12,59300,large_studio_floor,25,7.74,79.9,575673
5,1991,49528223,12,63850,large_studio_floor,31,7.86,100.0,784130
5,1992,58610038,12,81750,large_studio_floor,36,8.06,100.0,952970
5,1993,68678694,12,99850,large_studio_floor,42,8.19,100.0,1115032
5,1994,73652294,12,124050,large_studio_floor,44,8.23,100.0,1203548
5,1995,75079350,12,124050,large_studio_floor,45,8.27,100.0,1249616
5,1996,76267632,12,138875,large_studio_floor,46,8.27,100.0,1284793
5,1996,76267632,12,138875,large_studio_floor,46,8.27,100.0,1284793
