seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
3,1986,1269,1,0,bedroom,3,5.17,1.4,9
3,1987,62428,1,0,bedroom,5,5.86,5.8,507
3,1988,93560,2,2925,shared_workspace,8,6.30,12.2,1273
3,1989,3577060,12,46450,large_studio_floor,14,6.85,29.7,77647
3,1990,16357873,12,51500,large_studio_floor,19,7.17,47.6,265864
3,1991,25690686,12,64425,large_studio_floor,25,7.42,70.4,404441
3,1992,31957118,12,87600,large_studio_floor,31,7.61,94.8,513124
3,1993,39688914,12,91150,large_studio_floor,36,7.79,100.0,643985
3,1994,44948229,12,123750,large_studio_floor,38,7.85,100.0,729325
3,1995,44416127,12,132875,large_studio_floor,39,7.84,100.0,738997
3,1996,45430919,12,160450,large_studio_floor,40,7.88,100.0,781969
3,1996,45430919,12,160450,large_studio_floor,40,7.88,100.0,781969
