seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,profit,attach_pct
2,0,1985,small,microstar_64,thrift,4.60,31.7,38.0,0.835,20,10,1,149,0,3600,8010,-4410,0.00
2,1,1985,small,microstar_64,thrift,5.60,34.1,38.0,0.896,19,9,0,836,1766,3000,6743,-1977,0.02
2,2,1986,small,microstar_64,thrift,5.80,32.5,38.0,0.854,13,8,3,1207,3392,3500,7728,-836,0.03
2,3,1986,small,microstar_64,thrift,4.40,30.1,38.0,0.793,16,7,1,223,0,2800,6228,-3428,0.01
2,4,1986,small,microstar_64,thrift,5.80,35.9,38.0,0.944,16,8,0,1634,6613,2700,5991,3322,0.04
2,7,1987,small,famiclone,thrift,5.50,36.0,38.0,0.947,3,3,0,848,322,4100,9152,-4730,0.01
2,5,1987,small,microstar_64,thrift,8.30,43.5,38.0,1.145,3,8,5,194621,1107455,3800,8491,1102764,5.12
2,6,1987,small,famiclone,thrift,7.70,38.7,38.0,1.019,3,4,3,51456,261899,4700,10419,256180,0.43
2,8,1987,small,famiclone,thrift,8.30,42.8,38.0,1.127,1,3,0,40621,207013,4800,10722,201091,0.34
2,10,1987,small,famiclone,meridian,7.20,40.7,38.0,1.072,1,3,0,4517,9836,9200,10842,8194,0.04
2,9,1987,small,famiclone,thrift,8.00,42.5,38.0,1.118,3,3,0,28693,145931,4900,10842,139989,0.24
2,11,1987,small,famiclone,meridian,8.60,44.5,38.0,1.170,1,3,0,121392,505534,9200,10842,503892,1.01
2,13,1988,medium,famiclone,meridian,7.90,157.1,166.0,0.946,2,6,0,37549,220101,18000,21160,216941,0.31
2,12,1988,small,famiclone,meridian,7.90,40.4,38.0,1.064,1,3,0,90492,378750,9200,10842,377108,0.75
2,14,1988,medium,famiclone,meridian,6.90,159.8,166.0,0.963,3,6,0,8191,34375,18000,21160,31215,0.07
2,15,1988,medium,famiclone,northgate,8.70,176.9,166.0,1.066,0,6,1,275496,1412965,29900,23030,1419835,2.30
2,16,1988,medium,famiclone,northgate,9.40,184.8,166.0,1.113,0,6,1,652158,3431948,29900,23030,3438818,5.43
2,17,1988,medium,famiclone,northgate,8.60,180.6,166.0,1.088,3,6,0,295639,1567406,27500,21160,1573746,2.46
2,18,1989,medium,famiclone,northgate,8.90,172.5,166.0,1.039,3,6,0,830963,4512491,27500,21160,4518831,6.92
2,19,1989,medium,famiclone,northgate,7.70,164.0,166.0,0.988,0,6,1,243686,1319859,29900,23030,1326729,2.03
2,20,1989,medium,famiclone,northgate,7.40,160.1,166.0,0.964,0,6,1,127247,681119,29900,23030,687989,1.06
2,21,1989,medium,famiclone,northgate,9.10,172.6,166.0,1.040,3,6,0,958234,5367214,27500,21160,5373554,7.99
2,22,1989,medium,famiclone,atlas,7.40,155.1,166.0,0.935,1,6,0,143928,610597,40200,21160,629637,1.20
2,23,1989,medium,famiclone,atlas,9.30,183.7,166.0,1.107,3,6,0,655086,2949495,40200,21160,2968535,5.46
2,24,1990,medium,famiclone,atlas,8.90,175.6,166.0,1.058,0,6,1,655420,3002649,43800,23030,3023419,5.46
2,25,1990,medium,famiclone,atlas,9.20,186.8,166.0,1.125,0,6,1,655343,3051703,43800,23030,3072473,5.46
2,26,1990,medium,famiclone,atlas,9.00,176.9,166.0,1.065,2,6,0,654320,3104157,40200,21160,3123197,5.45
2,27,1990,medium,famiclone,atlas,8.40,177.3,166.0,1.068,0,6,1,448667,2147108,43800,23030,2167878,3.74
2,28,1990,medium,famiclone,atlas,9.10,193.9,166.0,1.168,0,6,1,597566,2912638,43800,23030,2933408,4.98
2,29,1991,medium,famiclone,atlas,8.40,170.5,166.0,1.027,1,6,1,402092,1977635,43800,23030,1998405,3.35
2,30,1991,medium,famiclone,atlas,6.70,160.5,166.0,0.967,2,6,0,29282,108891,40200,21160,127931,0.24
2,31,1991,medium,famiclone,atlas,8.90,174.1,166.0,1.049,2,6,0,401756,2016073,40200,21160,2035113,3.35
2,32,1991,medium,famiclone,atlas,9.60,188.9,166.0,1.138,0,6,1,401253,2021847,43800,23030,2042617,3.34
2,34,1991,medium,famiclone,atlas,9.80,180.7,166.0,1.089,0,6,1,323342,1620765,43800,23030,1641535,2.69
2,33,1991,medium,famiclone,atlas,8.00,170.5,166.0,1.027,3,6,0,126841,612776,40200,21160,631816,1.06
2,35,1992,medium,famiclone,atlas,9.50,195.4,166.0,1.177,3,6,0,201370,996452,40200,21160,1015492,1.68
2,36,1992,medium,ibm_compatible,atlas,9.00,178.4,166.0,1.075,0,6,1,426299,2409732,28700,15121,2423311,4.74
2,37,1992,medium,ibm_compatible,atlas,8.20,167.9,166.0,1.011,2,6,0,427066,2416422,26400,13911,2428911,4.75
2,38,1992,medium,ibm_compatible,atlas,9.80,209.9,166.0,1.265,0,7,1,425832,2403859,31900,16788,2418971,4.73
2,40,1992,medium,ibm_compatible,atlas,9.70,184.2,166.0,1.110,3,6,0,478703,2711782,26400,13911,2724271,5.32
2,39,1992,medium,ibm_compatible,atlas,9.00,187.1,166.0,1.127,0,6,1,479650,2714898,28700,15121,2728477,5.33
2,41,1993,large,pocket_play,atlas,9.70,1424.8,1300.0,1.096,0,36,1,624332,3909912,375500,197609,4087803,7.80
2,42,1994,large,pocket_play,atlas,9.80,1526.1,1300.0,1.174,0,37,1,465746,2807880,389000,204745,2992135,5.82
2,43,1995,large,mega16,atlas,8.10,1250.0,1300.0,0.962,0,35,1,489412,2744074,538900,283655,2999319,4.89
