seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
7,1986,2476,1,0,bedroom,3,5.00,0.0,2
7,1987,5186,1,0,bedroom,6,4.93,0.6,2
7,1988,3506,1,0,bedroom,6,4.93,0.6,2
7,1989,47227,1,0,shared_workspace,8,5.20,2.4,438
7,1990,7388516,12,35950,large_studio_floor,13,6.10,16.7,88511
7,1991,14152275,12,35950,large_studio_floor,18,6.59,33.3,181542
7,1992,16227742,12,52725,large_studio_floor,24,6.78,48.9,221880
7,1993,24458767,12,60600,large_studio_floor,30,7.13,74.2,341160
7,1994,28327475,12,85675,large_studio_floor,32,7.22,82.6,409288
7,1995,31304816,12,106500,large_studio_floor,33,7.28,88.2,467300
7,1996,32570343,12,139375,large_studio_floor,34,7.34,93.5,509247
7,1996,32570343,12,139375,large_studio_floor,34,7.34,93.5,509247
