seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
8,1986,4884,1,0,bedroom,3,5.53,1.6,25
8,1987,17012,1,0,bedroom,6,5.50,2.6,147
8,1988,153147,3,7075,shared_workspace,9,6.07,9.7,2145
8,1989,1679140,12,40525,large_studio_floor,14,6.54,23.0,25672
8,1990,9567329,12,40525,large_studio_floor,19,6.91,39.9,131846
8,1991,20883228,12,50200,large_studio_floor,25,7.30,65.6,310296
8,1992,28301922,12,79500,large_studio_floor,30,7.56,89.1,450135
8,1993,36174765,12,109550,large_studio_floor,36,7.74,100.0,584982
8,1994,41104300,12,114475,large_studio_floor,38,7.78,100.0,659003
8,1995,42248424,12,148575,large_studio_floor,39,7.79,100.0,688548
8,1996,43134875,12,165325,large_studio_floor,40,7.81,100.0,720843
8,1996,43134875,12,165325,large_studio_floor,40,7.81,100.0,720843
