seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,profit,attach_pct
8,0,1985,small,microstar_64,thrift,4.90,34.3,38.0,0.903,19,11,0,201,0,3500,7818,-4318,0.01
8,1,1985,small,microstar_64,thrift,6.10,35.8,38.0,0.941,16,9,0,1231,4016,3000,6743,273,0.03
8,2,1985,small,microstar_64,thrift,5.60,32.9,38.0,0.867,12,8,2,424,0,3100,6991,-3891,0.01
8,3,1986,small,microstar_64,thrift,4.90,30.8,38.0,0.810,12,7,0,433,0,2600,5728,-3128,0.01
8,4,1986,small,microstar_64,thrift,4.60,33.1,38.0,0.871,23,8,0,296,0,2700,5991,-3291,0.01
8,5,1986,small,microstar_64,thrift,6.90,38.8,38.0,1.022,15,9,0,6557,34522,2900,6506,30916,0.17
8,6,1987,small,microstar_64,thrift,7.10,38.1,38.0,1.002,5,7,5,5147,25896,3600,7991,21505,0.14
8,7,1987,small,famiclone,thrift,6.20,35.5,38.0,0.935,6,7,5,3022,9257,6400,14297,1360,0.03
8,9,1988,small,famiclone,thrift,6.60,37.8,38.0,0.994,3,4,2,8691,41292,4200,9371,36121,0.07
8,10,1988,medium,famiclone,thrift,6.70,148.7,166.0,0.895,3,6,3,11881,80905,10600,23512,67993,0.10
8,8,1987,small,famiclone,thrift,8.30,41.4,38.0,1.089,3,7,4,143715,740127,6100,13447,732780,1.20
8,11,1988,medium,famiclone,meridian,8.50,167.3,166.0,1.008,3,6,2,169249,1020974,19000,22358,1017616,1.41
8,12,1988,medium,famiclone,meridian,7.60,182.0,166.0,1.096,1,7,1,33148,184486,21400,25176,180710,0.28
8,13,1988,medium,famiclone,meridian,7.60,168.7,166.0,1.017,2,6,1,62493,371462,19600,23030,368032,0.52
8,14,1989,medium,famiclone,meridian,7.50,164.3,166.0,0.990,0,6,1,77811,470944,19600,23030,467514,0.65
8,15,1989,medium,famiclone,meridian,7.50,156.5,166.0,0.943,0,6,1,98113,603283,19600,23030,599853,0.82
8,16,1989,medium,famiclone,meridian,9.40,186.4,166.0,1.123,0,6,1,958414,6107561,19600,23030,6104131,7.99
8,17,1989,medium,famiclone,northgate,7.40,161.9,166.0,0.976,3,6,0,122676,621637,27500,21160,627977,1.02
8,18,1989,medium,famiclone,northgate,7.80,167.5,166.0,1.009,0,6,1,116678,592416,29900,23030,599286,0.97
8,19,1990,medium,famiclone,northgate,8.30,177.5,166.0,1.069,0,6,1,196913,1030407,29900,23030,1037277,1.64
8,20,1990,medium,famiclone,northgate,7.40,159.8,166.0,0.963,3,6,0,65077,326958,27500,21160,333298,0.54
8,21,1990,medium,famiclone,northgate,9.20,187.1,166.0,1.127,0,6,1,656049,3571069,29900,23030,3577939,5.47
8,22,1990,medium,famiclone,northgate,9.20,187.5,166.0,1.129,0,6,1,655147,3619876,29900,23030,3626746,5.46
8,23,1990,medium,famiclone,northgate,9.40,209.2,166.0,1.260,0,7,1,532018,2974186,33300,25606,2981880,4.43
8,24,1990,medium,famiclone,atlas,7.80,167.5,166.0,1.009,3,6,0,242336,1062781,40200,21160,1081821,2.02
8,25,1991,medium,famiclone,atlas,9.80,203.5,166.0,1.226,0,6,1,400885,1801260,43800,23030,1822030,3.34
8,26,1991,medium,famiclone,atlas,8.20,174.5,166.0,1.051,2,6,0,152116,674413,40200,21160,693453,1.27
8,27,1991,medium,famiclone,atlas,8.70,170.1,166.0,1.024,3,6,0,401555,1870280,40200,21160,1889320,3.35
8,28,1991,medium,famiclone,atlas,8.20,165.9,166.0,1.000,1,6,0,304161,1428490,40200,21160,1447530,2.53
8,29,1991,medium,famiclone,atlas,9.40,191.2,166.0,1.152,3,6,0,377399,1804731,40200,21160,1823771,3.14
8,30,1992,medium,famiclone,atlas,8.80,179.3,166.0,1.080,0,6,1,159525,749843,43800,23030,770613,1.33
8,31,1992,medium,ibm_compatible,atlas,9.80,191.3,166.0,1.152,0,6,1,425987,2360712,28700,15121,2374291,4.73
8,32,1992,medium,ibm_compatible,atlas,9.40,179.7,166.0,1.083,0,6,1,426182,2406961,28700,15121,2420540,4.74
8,33,1992,medium,ibm_compatible,atlas,9.00,183.9,166.0,1.108,3,6,0,426408,2412654,26400,13911,2425143,4.74
8,34,1992,medium,ibm_compatible,atlas,7.30,165.3,166.0,0.996,0,6,1,87714,473024,28700,15121,486603,0.97
8,35,1992,medium,ibm_compatible,atlas,7.50,153.9,166.0,0.927,2,6,0,202128,1129772,26400,13911,1142261,2.25
8,36,1993,medium,ibm_compatible,atlas,8.20,179.9,166.0,1.084,0,6,1,480215,2718129,28700,15121,2731708,5.34
8,37,1993,large,pocket_play,atlas,8.90,1334.7,1300.0,1.027,0,36,1,505485,3094149,375500,197609,3272040,6.32
8,38,1994,large,pocket_play,atlas,8.20,1337.8,1300.0,1.029,0,37,1,461741,2780389,389000,204745,2964644,5.77
8,39,1995,large,mega16,atlas,8.30,1310.4,1300.0,1.008,1,36,1,489461,2724301,559000,294187,2989114,4.89
