seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
1,1986,6020,1,0,bedroom,2,5.95,1.8,106
1,1987,62242,1,0,bedroom,6,6.27,7.0,597
1,1988,349219,6,12525,professional_studio,11,6.83,21.0,5770
1,1989,1093059,12,38200,large_studio_floor,17,7.02,36.7,18303
1,1990,10583949,12,40775,large_studio_floor,23,7.26,57.3,141187
1,1991,23534178,12,58450,large_studio_floor,28,7.54,80.4,358214
1,1992,32084132,12,69750,large_studio_floor,34,7.76,100.0,510481
1,1993,41825859,12,104125,large_studio_floor,40,8.01,100.0,687978
1,1994,47027886,12,104125,large_studio_floor,41,8.02,100.0,765859
1,1995,48439020,12,139775,large_studio_floor,42,8.03,100.0,797645
1,1996,49495406,12,152100,large_studio_floor,43,8.07,100.0,844248
1,1996,49495406,12,152100,large_studio_floor,43,8.07,100.0,844248
