seed,year,cash,staff,payroll_mo,office,released,avg_review,consumer_rep,fans
6,1986,4445,1,0,bedroom,3,4.87,0.0,10
6,1987,7564,1,0,bedroom,6,5.13,0.7,44
6,1988,64367,1,0,bedroom,9,5.67,5.9,781
6,1989,783397,10,33000,large_studio_floor,14,6.08,15.2,9963
6,1990,4275418,12,38850,large_studio_floor,19,6.40,27.8,61871
6,1991,8669600,12,54550,large_studio_floor,25,6.72,46.7,130848
6,1992,11708268,12,63275,large_studio_floor,31,7.02,69.8,188753
6,1993,17154681,12,93300,large_studio_floor,36,7.24,91.5,289213
6,1994,22756458,12,115500,large_studio_floor,38,7.34,100.0,388093
6,1995,23614463,12,136725,large_studio_floor,39,7.35,100.0,409319
6,1996,24835224,12,136725,large_studio_floor,40,7.38,100.0,443518
6,1996,24835224,12,136725,large_studio_floor,40,7.38,100.0,443518
