seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
4,1986,1781,1,0,bedroom,1,0,2,4.65,0.8,0
4,1987,1771,1,0,bedroom,1,0,5,4.78,1.0,2
4,1988,6132,1,0,bedroom,1,0,7,5.14,3.1,13
4,1989,4452,1,0,bedroom,1,0,7,5.14,3.1,13
4,1990,75463,1,0,shared_workspace,1,977,8,5.36,5.1,682
4,1991,2831738,16,77775,campus,2,130900,14,6.39,17.3,106764
4,1992,3057287,16,78800,campus,2,135300,25,6.57,32.3,136640
4,1993,4449889,20,96475,campus,2,139700,35,6.76,56.5,168166
4,1994,3915086,20,105100,campus,2,144100,38,6.78,63.5,184143
4,1995,5012108,20,160800,campus,2,148500,41,6.77,69.4,216038
4,1996,6288338,20,170325,campus,2,152900,43,6.84,78.8,266055
4,1996,6288338,20,170325,campus,2,152900,43,6.84,78.8,266055
