seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
2,1986,993,1,0,bedroom,1,0,3,4.90,0.1,0
2,1987,3876,1,0,bedroom,1,0,5,5.02,1.4,1
2,1988,111651,2,1700,shared_workspace,1,926,9,6.33,9.8,1926
2,1989,1564510,12,42950,studio_building,1,42560,15,6.71,19.8,42150
2,1990,5681389,16,55400,studio_building,2,43700,23,6.89,35.1,74449
2,1991,4330422,20,77650,campus,2,130900,33,6.84,52.5,109436
2,1992,4861970,20,97125,campus,2,135300,43,6.89,74.2,137258
2,1993,7053348,20,134975,campus,2,139700,53,6.95,98.0,184304
2,1994,7360846,20,172450,campus,2,144100,57,6.98,100.0,212074
2,1995,8194532,20,241300,campus,2,148500,59,6.98,100.0,247174
2,1996,9220658,20,262425,campus,2,152900,61,7.01,100.0,285763
2,1996,9220658,20,262425,campus,2,152900,61,7.01,100.0,285763
