seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand
6,0,1985,small,microstar_64,thrift,4.30,18.6,28.0,0.665,17,10,1,73,0,3600,8010,0,-4410,0.00,1,0.909
6,1,1985,small,microstar_64,thrift,4.30,21.4,28.0,0.764,17,8,0,75,0,2800,6228,0,-3428,0.00,1,1.115
6,2,1986,small,microstar_64,thrift,5.20,24.0,28.0,0.855,17,8,0,420,0,2800,6243,0,-3443,0.01,1,0.902
6,3,1986,small,microstar_64,thrift,5.50,24.2,28.0,0.865,16,8,0,858,2095,2800,6171,0,-1276,0.02,1,1.322
6,4,1986,small,microstar_64,thrift,5.60,24.7,28.0,0.881,13,7,0,565,525,2700,5900,0,-2675,0.01,1,1.096
6,5,1986,small,microstar_64,thrift,5.30,24.8,28.0,0.887,15,8,0,445,0,2800,6171,0,-3371,0.01,1,0.933
6,6,1987,small,microstar_64,thrift,6.50,29.7,28.0,1.061,16,7,0,1150,3972,2600,5748,0,824,0.03,1,1.026
6,7,1987,small,famiclone,thrift,5.50,25.4,28.0,0.906,10,8,0,297,0,5200,11460,0,-6260,0.00,1,0.731
6,8,1989,small,famiclone,thrift,5.00,26.6,28.0,0.948,18,7,0,931,0,5000,11076,0,-6076,0.01,1,1.364
6,9,1990,small,famiclone,thrift,6.50,27.8,28.0,0.992,13,7,0,8380,38282,5100,11331,0,32051,0.07,1,1.600
6,10,1991,small,famiclone,thrift,6.70,30.4,28.0,1.087,2,7,4,4093,14252,7000,15620,0,5632,0.03,1,1.547
6,11,1991,small,famiclone,thrift,7.80,35.0,28.0,1.248,2,7,5,26908,132693,7500,16732,0,123461,0.22,1,1.196
6,12,1991,small,famiclone,thrift,9.20,54.4,28.0,1.943,3,5,4,202007,1053308,6200,22306,8519,1037202,1.68,2,1.353
6,13,1991,small,famiclone,meridian,8.50,60.8,28.0,2.170,3,3,1,202028,845531,7200,20671,12190,832060,1.68,3,1.307
6,14,1992,medium,ibm_compatible,meridian,7.20,775.2,983.0,0.789,0,7,1,417614,2887299,16100,95041,76077,2808358,4.64,3,1.330
6,15,1992,medium,ibm_compatible,meridian,6.90,791.8,983.0,0.805,0,7,1,110694,756621,17600,125315,104667,648906,1.23,3,0.758
6,17,1992,small,ibm_compatible,meridian,8.10,30.0,28.0,1.073,2,6,4,19375,85173,8100,48560,39039,44713,0.22,4,0.333
6,16,1992,medium,ibm_compatible,meridian,6.80,867.6,983.0,0.883,0,7,1,241128,1676325,18500,139571,117779,1555254,2.68,3,1.067
6,18,1992,medium,ibm_compatible,meridian,7.10,929.2,983.0,0.945,0,7,1,245871,1733689,18100,132508,111267,1619281,2.73,5,1.338
6,19,1992,small,ibm_compatible,northgate,9.20,52.3,28.0,1.869,0,4,1,254130,1004339,8300,33127,26775,979512,2.82,6,0.418
6,20,1992,small,ibm_compatible,northgate,8.80,56.6,28.0,2.020,3,3,0,276555,1112785,6400,23518,18600,1095667,3.07,7,1.226
6,21,1993,medium,ibm_compatible,northgate,6.50,865.5,983.0,0.880,0,7,1,104986,604674,27000,124606,103842,507068,1.17,7,0.982
6,22,1993,small,ibm_compatible,northgate,8.90,56.4,28.0,2.014,1,3,0,208336,851661,6500,23588,18600,834573,2.31,8,0.357
6,23,1993,medium,pocket_play,northgate,6.40,801.1,983.0,0.815,1,6,0,362949,1929939,26400,64022,43736,1892317,4.54,7,1.014
6,24,1993,medium,pocket_play,northgate,6.20,811.3,983.0,0.825,0,7,1,202227,1060670,33300,93702,68121,1000268,2.53,7,0.864
6,27,1993,large,pocket_play,northgate,7.60,7889.6,8387.0,0.941,0,40,1,469169,3107628,389400,805883,506337,2691145,5.86,5,0.829
6,25,1993,medium,pocket_play,northgate,6.80,907.1,983.0,0.923,2,7,0,405875,2171494,30300,83898,60552,2117896,5.07,8,0.914
6,26,1993,medium,pocket_play,northgate,6.10,808.2,983.0,0.822,0,7,1,304142,1625186,33300,93702,68121,1564784,3.80,4,1.003
6,28,1994,medium,pocket_play,northgate,7.50,911.4,983.0,0.927,0,7,1,279351,1505750,33900,97434,71329,1442216,3.49,6,0.411
6,30,1994,medium,mega16,atlas,7.80,981.4,983.0,0.998,0,7,1,799534,3374224,75500,123217,83493,3326507,8.00,5,0.934
6,29,1994,medium,mega16,northgate,6.50,860.5,983.0,0.875,3,7,0,363748,1927569,47100,104140,67874,1870529,3.64,6,0.682
6,31,1994,medium,mega16,atlas,6.10,793.6,983.0,0.807,0,7,1,490419,2064393,75500,125986,86262,2013907,4.90,4,0.767
6,32,1994,large,pocket_play,atlas,7.70,8633.0,8387.0,1.029,0,40,1,320936,1382102,577600,864668,560647,1095034,4.01,5,0.671
6,34,1995,medium,mega16,atlas,7.90,976.3,983.0,0.993,0,6,1,490287,2114234,70800,133200,95952,2051834,4.90,5,1.010
6,33,1994,medium,mega16,atlas,7.10,956.3,983.0,0.973,3,7,0,214135,878159,68900,120602,84336,826457,2.14,6,0.168
6,35,1995,medium,ibm_compatible,atlas,8.10,1044.1,983.0,1.062,0,6,1,594954,3083721,34600,114148,95952,3004173,6.61,4,0.751
6,36,1995,medium,ibm_compatible,atlas,8.40,1162.2,983.0,1.182,0,6,1,594765,3120830,34600,114148,95952,3041282,6.61,4,0.737
6,38,1995,large,mega16,atlas,7.90,8839.3,8387.0,1.054,2,41,1,475223,2127298,891200,1077031,607985,1941467,4.75,3,0.466
6,37,1995,medium,ibm_compatible,atlas,7.10,972.8,983.0,0.990,1,7,1,588738,3127424,38100,135197,115131,3030327,6.54,3,0.728
6,39,1995,medium,ibm_compatible,atlas,6.70,914.5,983.0,0.930,3,6,0,341486,1838259,31500,110579,94017,1759180,3.79,4,0.875
6,40,1995,medium,ibm_compatible,atlas,7.90,1074.9,983.0,1.094,0,7,1,62037,302109,39400,163737,143025,177772,0.69,4,0.677
