seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand
5,0,1985,small,microstar_64,thrift,4.70,21.1,28.0,0.753,6,9,2,85,0,3600,7980,0,-4380,0.00,1,1.018
5,1,1985,small,microstar_64,thrift,4.30,20.4,28.0,0.730,17,8,0,75,0,2800,6228,0,-3428,0.00,1,0.973
5,2,1985,small,microstar_64,thrift,5.00,22.0,28.0,0.785,13,8,0,88,0,2800,6228,0,-3428,0.00,1,0.736
5,3,1986,small,microstar_64,thrift,6.40,26.8,28.0,0.956,16,7,0,2033,8897,2700,5900,0,5697,0.05,1,1.109
5,4,1986,small,microstar_64,thrift,7.70,32.2,28.0,1.151,10,8,5,16805,92123,4000,8990,0,87133,0.44,1,1.186
5,5,1987,small,microstar_64,thrift,7.50,33.6,28.0,1.201,2,8,3,2672,11882,3500,11241,3495,4141,0.07,2,0.769
5,6,1987,small,famiclone,thrift,8.30,50.2,28.0,1.792,2,3,1,140997,731294,3500,14688,6990,720106,1.17,2,1.338
5,7,1987,small,famiclone,thrift,9.00,52.3,28.0,1.867,3,3,1,380965,1997996,3500,16869,9056,1984627,3.17,2,1.278
5,8,1987,small,famiclone,meridian,8.10,52.3,28.0,1.867,3,4,2,37462,148737,9600,55829,44538,102508,0.31,3,1.042
5,13,1988,small,famiclone,northgate,7.40,33.3,28.0,1.190,3,6,2,5453,4299,15600,37925,25962,-18026,0.05,6,0.630
5,9,1987,small,famiclone,meridian,8.50,71.9,28.0,2.569,3,3,0,182403,768627,9500,64624,53412,713503,1.52,4,1.068
5,11,1987,small,famiclone,meridian,8.70,95.0,28.0,3.394,2,3,0,163591,703307,10400,78422,66175,635285,1.36,6,0.883
5,10,1987,small,famiclone,meridian,8.90,78.9,28.0,2.818,3,3,0,287520,1229901,9700,67309,55905,1172292,2.40,5,0.997
5,14,1988,small,famiclone,northgate,8.80,50.5,28.0,1.802,2,3,0,123823,445853,9600,28480,21060,426973,1.03,6,0.910
5,12,1988,small,famiclone,northgate,8.70,86.8,28.0,3.100,0,3,0,314216,1115437,16100,81070,68685,1050467,2.62,6,0.929
5,15,1988,medium,famiclone,northgate,8.10,1048.0,983.0,1.066,2,7,1,275957,1471717,37200,140070,111483,1368847,2.30,7,0.622
5,16,1988,small,famiclone,northgate,9.40,57.2,28.0,2.043,1,3,1,348207,1300657,11200,37465,28887,1274392,2.90,7,0.600
5,17,1988,medium,famiclone,northgate,6.90,945.0,983.0,0.961,0,7,1,196858,1068684,36100,128404,100629,976380,1.64,8,0.963
5,18,1988,small,famiclone,northgate,8.70,71.8,28.0,2.565,2,3,1,358007,1366765,10700,35335,27085,1342130,2.98,9,0.374
5,19,1988,medium,famiclone,atlas,7.10,929.0,983.0,0.945,1,6,0,208080,898892,42900,100227,77649,841565,1.73,8,0.826
5,20,1988,medium,famiclone,atlas,6.30,805.9,983.0,0.820,1,7,1,110737,463135,42000,76527,54431,428608,0.92,8,0.314
5,21,1988,medium,famiclone,atlas,7.00,989.9,983.0,1.007,3,6,0,258450,1137329,46200,120068,95753,1063461,2.15,8,0.609
5,22,1988,medium,famiclone,atlas,5.80,774.2,983.0,0.788,3,7,0,116555,497520,40100,79431,58328,458189,0.97,8,0.349
5,23,1988,medium,famiclone,atlas,7.20,976.3,983.0,0.993,3,6,0,464879,2102492,44900,113439,89817,2033953,3.87,9,0.765
5,24,1989,medium,famiclone,atlas,5.80,806.8,983.0,0.821,0,6,1,225920,1010697,41400,89427,67640,962670,1.88,9,0.391
5,25,1989,medium,famiclone,atlas,7.50,972.1,983.0,0.989,0,6,1,660806,3033542,48200,116758,91384,2964984,5.51,9,0.637
5,29,1989,medium,famiclone,atlas,7.70,1039.2,983.0,1.057,0,7,1,890219,4234875,51000,109537,82710,4176338,7.42,9,0.487
5,26,1989,medium,famiclone,atlas,6.90,844.5,983.0,0.859,0,7,1,570842,2638997,48500,112508,86991,2574989,4.76,9,1.028
5,28,1989,medium,famiclone,atlas,7.00,866.6,983.0,0.882,0,7,1,656809,3090198,50100,123014,96663,3017284,5.47,10,0.924
5,27,1989,medium,famiclone,atlas,7.40,971.1,983.0,0.988,0,7,1,389262,1792116,52600,123775,96111,1720941,3.24,9,0.280
5,30,1989,medium,famiclone,atlas,7.10,887.4,983.0,0.903,0,6,1,656835,3148315,46000,116722,92536,3077593,5.47,10,1.001
5,32,1989,medium,famiclone,atlas,7.20,992.1,983.0,1.009,1,7,1,656771,3195433,51000,132598,105771,3113835,5.47,9,0.808
5,33,1989,medium,famiclone,atlas,7.90,1069.9,983.0,1.088,3,6,0,656634,3228514,42000,86422,64330,3184092,5.47,9,0.928
5,31,1989,medium,famiclone,atlas,7.50,995.9,983.0,1.013,0,7,1,487512,2337160,51000,109537,82710,2278623,4.06,10,0.392
5,34,1990,medium,famiclone,atlas,7.60,993.8,983.0,1.011,3,7,0,398022,1956521,47100,130684,105880,1872937,3.32,8,0.290
5,35,1990,medium,famiclone,atlas,7.50,994.4,983.0,1.012,0,7,1,601501,3004232,51700,116042,88825,2939890,5.01,7,0.814
5,36,1990,medium,famiclone,atlas,7.10,919.5,983.0,0.935,0,6,1,340793,1699418,47100,139884,115087,1606634,2.84,7,0.470
5,37,1990,medium,famiclone,atlas,7.90,1054.7,983.0,1.073,0,6,1,529991,2681289,47100,108101,83304,2620288,4.42,7,0.634
5,38,1990,medium,famiclone,atlas,7.50,1034.6,983.0,1.052,0,6,1,560019,2835877,47100,165111,140314,2717866,4.67,8,0.396
5,39,1990,medium,famiclone,atlas,6.80,987.4,983.0,1.004,0,7,1,290771,1444586,52300,121226,93717,1375660,2.42,7,0.786
5,40,1990,medium,famiclone,atlas,6.90,903.0,983.0,0.919,0,7,1,155242,746881,52300,203891,176382,595290,1.29,7,0.309
5,41,1990,medium,famiclone,atlas,7.40,1018.9,983.0,1.036,0,7,1,402644,2020510,52300,124066,96557,1948744,3.36,8,0.778
5,43,1990,medium,famiclone,atlas,8.30,1081.1,983.0,1.100,0,7,1,402509,2019812,52300,138104,110595,1934008,3.35,8,0.790
5,42,1990,medium,famiclone,atlas,7.10,941.4,983.0,0.958,0,7,1,402647,2020525,52300,203891,176382,1868934,3.36,8,0.467
5,44,1990,medium,famiclone,atlas,7.40,992.7,983.0,1.010,1,6,0,402571,2029432,43000,159832,137186,1912600,3.35,8,0.792
5,46,1991,medium,famiclone,atlas,6.20,917.7,983.0,0.934,0,7,1,111837,522134,53600,204609,176382,371125,0.93,8,0.671
5,45,1991,medium,famiclone,atlas,8.30,1146.6,983.0,1.166,0,7,1,382132,1913810,53400,155681,127577,1811529,3.18,7,0.503
5,47,1991,medium,famiclone,atlas,6.60,964.4,983.0,0.981,0,7,1,149956,717970,54000,166220,137808,605750,1.25,7,0.851
5,48,1991,medium,famiclone,atlas,6.60,857.3,983.0,0.872,0,7,1,120094,564239,54000,220268,191856,397971,1.00,7,0.280
5,49,1991,medium,famiclone,atlas,8.20,1056.2,983.0,1.074,3,6,0,397150,2000125,44400,130565,107184,1913960,3.31,6,0.702
5,50,1991,medium,famiclone,atlas,7.40,973.3,983.0,0.990,0,6,1,234508,1158543,48700,208326,182720,998917,1.95,6,0.229
5,51,1991,medium,famiclone,atlas,7.30,1054.0,983.0,1.072,2,7,0,281388,1398786,49800,148683,122496,1299903,2.34,7,0.914
5,52,1991,medium,famiclone,atlas,8.00,1044.1,983.0,1.062,0,7,1,243236,1198180,54000,233972,205560,1018208,2.03,8,0.470
5,53,1991,medium,famiclone,atlas,8.30,1177.7,983.0,1.198,0,7,1,201826,984998,54000,166220,137808,872778,1.68,7,0.810
5,54,1991,medium,famiclone,atlas,8.00,1070.1,983.0,1.089,0,7,1,201932,985543,54000,242909,214497,796634,1.68,8,0.417
5,56,1992,medium,ibm_compatible,atlas,7.80,981.4,983.0,0.998,0,7,1,427374,2407579,37000,233962,214497,2210617,4.75,4,1.072
5,55,1992,medium,famiclone,atlas,6.90,950.0,983.0,0.966,0,7,1,118969,557451,55000,166738,137808,445713,0.99,3,0.791
5,58,1992,medium,ibm_compatible,atlas,7.70,936.3,983.0,0.953,2,6,0,427415,2414212,30600,187362,171262,2257450,4.75,5,0.946
5,57,1992,medium,ibm_compatible,atlas,8.10,1070.6,983.0,1.089,0,7,1,427559,2408639,37000,157273,137808,2288366,4.75,4,0.290
5,60,1992,medium,ibm_compatible,atlas,8.50,1128.7,983.0,1.148,0,7,1,427273,2407002,37000,259043,239578,2184959,4.75,6,0.924
5,59,1992,medium,ibm_compatible,atlas,7.50,964.0,983.0,0.981,0,7,1,395686,2226321,37000,157273,137808,2106048,4.40,5,0.413
5,61,1992,medium,ibm_compatible,atlas,8.00,1120.0,983.0,1.139,0,6,1,456296,2576613,33400,140084,122496,2469929,5.07,6,0.520
5,64,1992,medium,ibm_compatible,atlas,8.10,1059.0,983.0,1.077,0,7,1,480599,2712028,37000,271240,251775,2477788,5.34,6,0.874
5,62,1992,medium,ibm_compatible,atlas,6.60,908.9,983.0,0.925,0,6,1,315518,1771361,33400,238445,220857,1566316,3.51,6,0.845
5,63,1992,medium,ibm_compatible,atlas,6.80,942.5,983.0,0.959,0,6,1,289284,1621303,33400,162817,145229,1491886,3.21,5,0.380
5,65,1993,medium,ibm_compatible,atlas,7.50,956.1,983.0,0.973,0,7,1,480745,2712262,37600,200808,181008,2549054,5.34,6,0.401
5,66,1993,medium,ibm_compatible,atlas,6.70,966.0,983.0,0.983,0,7,1,373695,2099634,37900,271706,251775,1865828,4.15,7,0.885
5,67,1994,large,pocket_play,atlas,7.90,8911.7,8387.0,1.063,1,41,1,468741,2681535,535900,1221969,939896,1995466,5.86,1,0.655
5,68,1994,large,pocket_play,atlas,7.50,9030.1,8387.0,1.077,0,42,1,468795,2662207,555600,1543222,1250790,1674585,5.86,2,1.046
5,69,1994,large,mega16,atlas,8.30,9403.4,8387.0,1.121,1,40,1,489047,2485326,795200,1510624,1092120,1769902,4.89,1,0.934
5,70,1995,large,mega16,atlas,7.40,8909.8,8387.0,1.062,3,40,1,490058,2491708,795600,1700955,1282235,1586353,4.90,2,0.881
5,71,1995,large,mega16,atlas,7.20,8767.5,8387.0,1.045,0,41,1,394282,1799443,845400,1600992,1156055,1043851,3.94,1,1.371
5,72,1995,large,ibm_compatible,atlas,8.10,9281.0,8387.0,1.107,1,40,1,321052,2123706,380500,1579530,1379292,924676,3.57,2,0.433
