seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
4,1986,1781,1,0,bedroom,1,0,2,4.65,0.8,0
4,1987,1771,1,0,bedroom,1,0,5,4.78,1.0,2
4,1988,6132,1,0,bedroom,1,0,7,5.14,3.1,13
4,1989,4452,1,0,bedroom,1,0,7,5.14,3.1,13
4,1990,75463,1,0,shared_workspace,1,977,8,5.36,5.1,682
4,1991,2831738,16,77775,campus,2,130900,14,6.39,17.3,106764
4,1992,3057287,16,78800,campus,2,135300,25,6.57,32.3,136640
4,1993,4449889,20,96475,campus,2,139700,35,6.76,56.5,168166
4,1994,3915086,20,105100,campus,2,144100,38,6.78,63.5,184143
4,1995,5012108,20,160800,campus,2,148500,41,6.77,69.4,216038
4,1996,6288338,20,170325,campus,2,152900,43,6.84,78.8,266055
4,1997,6811457,20,237600,campus,2,157300,45,6.86,84.8,293181
4,1998,13104187,20,257500,campus,2,161700,47,6.92,93.7,363000
4,1999,12756309,20,275100,campus,2,166100,49,6.91,97.8,384649
4,2000,22312188,20,281375,campus,2,170500,51,6.95,100.0,482662
4,2001,25455383,20,296775,campus,2,176550,53,6.96,100.0,530532
4,2002,25814587,20,296775,campus,2,182600,55,7.01,100.0,579909
4,2003,36542509,20,345925,campus,2,188650,57,7.00,100.0,637510
4,2004,47159922,20,354625,campus,2,194700,61,7.06,100.0,724407
4,2005,67585529,20,365050,campus,2,200750,63,7.09,100.0,877561
4,2006,83709101,20,375000,campus,2,206800,65,7.09,100.0,979089
4,2007,102055642,20,375000,campus,2,212850,67,7.09,100.0,1063390
4,2008,131404082,20,425825,campus,2,218900,69,7.11,100.0,1187816
4,2009,164649135,20,425825,campus,2,224950,71,7.14,100.0,1332934
4,2010,193872034,20,425825,campus,2,231000,73,7.18,100.0,1466829
4,2011,209633768,20,425825,campus,2,238700,75,7.17,100.0,1521391
4,2011,209633768,20,425825,campus,2,238700,75,7.17,100.0,1521391
