seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
1,1986,1511,1,0,bedroom,1,0,2,4.10,0.8,0
1,1987,1902,1,0,bedroom,1,0,6,4.58,1.0,10
1,1988,6283,1,0,bedroom,1,0,7,4.79,2.1,24
1,1989,4603,1,0,bedroom,1,0,7,4.79,2.1,24
1,1990,10202,1,0,bedroom,1,0,8,4.91,3.1,78
1,1991,2040858,13,64125,studio_building,2,45220,13,5.99,13.3,39335
1,1992,4420315,16,86575,studio_building,2,46740,24,6.67,35.9,76138
1,1993,6027209,20,106425,campus,2,139700,35,6.87,63.5,136633
1,1994,7789624,20,138575,campus,2,144100,37,6.89,68.8,178472
1,1995,11688309,20,172000,campus,2,148500,41,6.95,81.9,231015
1,1996,12274910,20,186375,campus,2,152900,43,6.95,86.6,262909
1,1997,17615404,20,237800,campus,2,157300,45,6.96,92.7,311875
1,1998,24624874,20,248675,campus,2,161700,47,6.99,99.4,370104
1,1999,28343174,20,279650,campus,2,166100,49,7.02,100.0,419084
1,2000,37735067,20,299350,campus,2,170500,51,7.05,100.0,514541
1,2001,43175583,20,315250,campus,2,176550,53,7.08,100.0,584834
1,2002,43290688,20,315250,campus,2,182600,55,7.11,100.0,625959
1,2003,54820822,20,356200,campus,2,188650,57,7.11,100.0,693753
1,2004,59110527,20,356200,campus,2,194700,59,7.09,100.0,732502
1,2005,74884616,20,387575,campus,2,200750,63,7.12,100.0,821488
1,2006,113670830,20,408750,campus,2,206800,65,7.12,100.0,1014478
1,2007,127405199,20,408750,campus,2,212850,67,7.15,100.0,1107632
1,2008,154562133,20,443275,campus,2,218900,69,7.15,100.0,1197383
1,2009,190824732,20,443275,campus,2,224950,71,7.14,100.0,1296686
1,2010,219830167,20,443275,campus,2,231000,73,7.14,100.0,1383524
1,2011,244649115,20,443275,campus,2,238700,75,7.17,100.0,1499176
1,2012,272349586,20,443275,campus,2,246400,77,7.19,100.0,1633870
1,2013,290939451,20,443275,campus,2,254100,79,7.22,100.0,1738775
1,2014,304432095,20,443275,campus,2,261800,82,7.24,100.0,1817315
1,2015,344317515,20,443275,campus,2,269500,85,7.25,100.0,1960831
1,2016,389659029,20,508975,campus,2,277200,87,7.26,100.0,2115360
1,2017,442456085,20,526900,campus,2,284900,89,7.27,100.0,2308356
1,2018,475661572,20,549625,campus,2,292600,91,7.28,100.0,2431675
1,2019,505194848,20,549625,campus,2,300300,93,7.29,100.0,2539331
1,2020,528182294,20,655075,campus,2,308000,95,7.29,100.0,2635557
1,2021,542696121,20,682900,campus,2,316250,97,7.28,100.0,2674223
1,2022,554297674,20,682900,campus,2,324500,99,7.28,100.0,2721775
1,2023,569115017,20,735850,campus,2,332750,101,7.29,100.0,2797128
1,2024,582973502,20,755575,campus,2,341000,103,7.30,100.0,2869625
1,2025,599235606,20,755575,campus,2,349250,107,7.31,100.0,2945509
1,2026,623217802,20,755575,campus,2,357500,109,7.31,100.0,3028802
1,2027,643036466,20,787125,campus,2,365750,111,7.32,100.0,3104502
1,2028,654391841,20,815400,campus,2,374000,113,7.32,100.0,3166328
1,2029,669006692,20,815400,campus,2,382250,115,7.33,100.0,3233947
1,2030,653204123,20,844375,campus,2,390500,117,7.33,100.0,3234207
1,2031,651849036,20,870150,campus,2,399850,119,7.34,100.0,3269466
1,2032,663228358,20,934350,campus,2,409200,121,7.34,100.0,3314121
1,2033,669080070,20,934350,campus,2,418550,123,7.33,100.0,3344771
1,2034,679945681,20,934350,campus,2,427900,125,7.33,100.0,3404421
1,2035,727727599,20,934350,campus,2,437250,129,7.34,100.0,3527361
1,2036,768739115,20,934350,campus,2,446600,131,7.35,100.0,3652312
1,2037,836720039,20,934350,campus,2,455950,133,7.36,100.0,3817064
1,2038,855979687,20,934350,campus,2,465300,135,7.36,100.0,3890806
1,2039,865571224,20,934350,campus,2,474650,137,7.37,100.0,3960582
1,2040,866431280,20,934350,campus,2,484000,139,7.38,100.0,4003147
1,2041,870082093,20,934350,campus,2,493900,141,7.38,100.0,4037523
1,2042,871987567,20,934350,campus,2,503800,143,7.39,100.0,4098108
1,2043,877121897,20,934350,campus,2,513700,145,7.38,100.0,4138301
1,2044,913921164,20,934350,campus,2,523600,148,7.39,100.0,4217587
1,2045,978676386,20,934350,campus,2,533500,151,7.39,100.0,4367638
1,2046,1035310751,20,934350,campus,2,543400,153,7.40,100.0,4525871
1,2047,1067955675,20,934350,campus,2,553300,155,7.40,100.0,4609046
1,2048,1076077240,20,934350,campus,2,563200,157,7.40,100.0,4664134
1,2049,1068480591,20,1070700,campus,2,573100,159,7.41,100.0,4705551
1,2050,1091440018,20,1070700,campus,2,583000,161,7.42,100.0,4800464
1,2051,1142137999,20,1108350,campus,2,592900,163,7.42,100.0,4898053
1,2051,1142137999,20,1108350,campus,2,592900,163,7.42,100.0,4898053
