seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
7,1986,2613,1,0,bedroom,1,0,3,4.23,0.0,0
7,1987,6864,1,0,bedroom,1,0,6,5.20,2.7,78
7,1988,86911,2,2325,shared_workspace,1,926,9,6.12,8.9,1481
7,1989,1343954,12,44150,large_studio_floor,1,8736,14,6.41,16.0,16950
7,1990,15644380,20,92250,campus,2,126500,22,6.77,33.5,159482
7,1991,22359570,20,102475,campus,2,130900,32,6.90,55.6,231989
7,1992,27584306,20,121525,campus,2,135300,43,7.00,83.5,297474
7,1993,36776610,20,151975,campus,2,139700,53,7.12,100.0,383392
7,1994,43962930,20,183075,campus,2,144100,55,7.17,100.0,469110
7,1995,49067148,20,259525,campus,2,148500,59,7.22,100.0,529020
7,1996,49731888,20,282750,campus,2,152900,61,7.22,100.0,559286
7,1996,49731888,20,282750,campus,2,152900,61,7.22,100.0,559286
