seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
5,1986,2684,1,0,bedroom,1,0,3,4.67,0.0,0
5,1987,75528,2,5050,shared_workspace,1,901,5,5.62,3.0,904
5,1988,1655776,13,45125,studio_building,2,41420,13,7.33,22.5,50585
5,1989,4068967,18,84375,campus,2,123200,22,7.35,40.7,133816
5,1990,20158603,20,99375,campus,2,126500,33,7.13,59.1,257102
5,1991,32120847,20,124450,campus,2,130900,43,7.11,80.4,364778
5,1992,38873599,20,149950,campus,2,135300,53,7.13,100.0,432708
5,1993,50266708,20,201125,campus,2,139700,62,7.17,100.0,518431
5,1994,53438702,20,247225,campus,2,144100,65,7.15,100.0,560002
5,1995,55719420,20,257325,campus,2,148500,68,7.17,100.0,598459
5,1996,56598310,20,279925,campus,2,152900,70,7.17,100.0,625406
5,1996,56598310,20,279925,campus,2,152900,70,7.17,100.0,625406
