seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
6,1986,1061,1,0,bedroom,1,0,3,5.17,0.3,3
6,1987,52197,1,0,bedroom,1,0,5,5.60,2.8,433
6,1988,1404051,12,39100,large_studio_floor,1,8502,13,6.69,23.8,28248
6,1989,3279688,18,71375,campus,2,123200,22,6.85,43.8,151582
6,1990,17115310,20,94350,campus,2,126500,33,7.12,76.9,383378
6,1991,37133459,20,108850,campus,2,130900,44,7.37,100.0,704035
6,1992,48415308,20,146250,campus,2,135300,55,7.49,100.0,892191
6,1993,57946214,20,171975,campus,2,139700,67,7.56,100.0,1058193
6,1994,65018938,20,214275,campus,2,144100,70,7.60,100.0,1177883
6,1995,67480989,20,225150,campus,2,148500,72,7.62,100.0,1250210
6,1996,68553622,20,270275,campus,2,152900,74,7.63,100.0,1311855
6,1996,68553622,20,270275,campus,2,152900,74,7.63,100.0,1311855
