seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct
6,0,1985,small,microstar_64,thrift,4.80,30.2,38.0,0.794,17,10,1,154,0,3600,8010,0,-4410,0.00
6,1,1985,small,microstar_64,thrift,5.40,32.2,38.0,0.846,13,9,0,477,0,3000,6743,0,-3743,0.01
6,2,1985,small,microstar_64,thrift,5.30,34.9,38.0,0.918,19,9,0,811,1729,2900,6506,0,-1877,0.02
6,3,1986,small,microstar_64,thrift,5.40,33.7,38.0,0.887,19,7,1,1672,6745,2800,6171,0,3374,0.04
6,4,1986,small,microstar_64,thrift,7.10,36.7,38.0,0.966,8,7,5,10256,54729,3800,8475,0,50054,0.27
6,6,1987,small,famiclone,thrift,5.20,28.0,38.0,0.737,3,3,2,987,1035,4100,16947,7806,-11812,0.01
6,8,1987,small,famiclone,thrift,6.20,36.9,38.0,0.972,1,3,0,2329,8595,3600,24686,16732,-12491,0.02
6,5,1987,small,microstar_64,thrift,8.30,42.6,38.0,1.120,4,8,5,78680,447037,4100,9050,0,442087,2.07
6,10,1987,small,famiclone,meridian,4.00,26.9,38.0,0.708,3,2,0,159,0,6200,23683,16389,-17483,0.00
6,7,1987,small,famiclone,thrift,8.00,41.9,38.0,1.103,2,3,1,60146,308554,4100,23949,14933,288705,0.50
6,9,1987,small,famiclone,thrift,8.80,46.4,38.0,1.220,0,3,1,89625,465926,4300,36221,26635,434005,0.75
6,13,1988,medium,famiclone,meridian,7.10,166.3,166.0,1.002,0,6,1,28900,161268,21300,98708,73626,83860,0.24
6,12,1987,small,famiclone,meridian,9.00,46.5,38.0,1.222,2,3,0,456431,1932107,9700,56519,45115,1885288,3.80
6,15,1988,small,famiclone,meridian,5.40,28.9,38.0,0.761,4,6,5,3657,3237,12700,41056,26071,-25119,0.03
6,14,1988,medium,famiclone,meridian,7.30,167.0,166.0,1.006,1,6,1,31641,178607,22400,111001,84648,90006,0.26
6,11,1987,small,famiclone,meridian,9.50,49.7,38.0,1.307,0,3,1,486278,2029378,10000,55932,44216,1983446,4.05
