seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
8,1986,1611,1,0,bedroom,1,0,2,4.80,0.8,0
8,1987,6698,1,0,bedroom,1,0,6,5.10,0.6,14
8,1988,248803,3,4025,small_office,1,2616,10,5.93,10.0,3861
8,1989,1862557,16,59000,studio_building,2,42560,15,6.25,19.6,50471
8,1990,6518269,20,76550,campus,2,126500,27,6.63,46.7,178381
8,1991,17433625,20,98800,campus,2,130900,38,6.95,81.1,365255
8,1992,26876379,20,114600,campus,2,135300,50,7.18,100.0,535496
8,1993,39937380,20,155875,campus,2,139700,62,7.38,100.0,731065
8,1994,49303332,20,185250,campus,2,144100,66,7.45,100.0,896825
8,1995,52187545,20,234475,campus,2,148500,68,7.47,100.0,971075
8,1996,52738641,20,244675,campus,2,152900,70,7.49,100.0,1023735
8,1996,52738641,20,244675,campus,2,152900,70,7.49,100.0,1023735
