seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct
1,0,1985,small,microstar_64,thrift,5.40,34.1,38.0,0.897,20,10,1,393,0,3500,7773,0,-4273,0.01
1,1,1985,small,microstar_64,thrift,3.40,29.4,38.0,0.773,24,9,0,72,0,3000,6743,0,-3743,0.00
1,2,1985,small,microstar_64,thrift,4.70,29.5,38.0,0.777,22,8,0,218,0,2800,6228,0,-3428,0.01
1,3,1986,small,microstar_64,thrift,5.30,34.2,38.0,0.901,14,9,0,449,0,3000,6701,0,-3701,0.01
1,4,1986,small,microstar_64,thrift,5.40,33.8,38.0,0.890,16,8,0,470,0,2800,6171,0,-3371,0.01
1,5,1986,small,microstar_64,thrift,5.00,30.6,38.0,0.805,11,7,0,684,1404,2500,5656,0,-1752,0.02
1,6,1987,small,famiclone,thrift,6.10,31.7,38.0,0.833,10,7,0,2247,6737,4800,10559,0,978,0.02
1,7,1987,small,famiclone,thrift,5.90,34.0,38.0,0.896,7,7,2,1411,1669,5600,12361,0,-5092,0.01
1,8,1987,small,famiclone,thrift,4.90,33.9,38.0,0.893,19,8,0,355,0,5200,11460,0,-6260,0.00
1,9,1988,small,famiclone,thrift,6.10,33.9,38.0,0.893,12,7,0,4442,18009,4900,10815,0,12094,0.04
1,10,1988,small,famiclone,thrift,7.10,38.9,38.0,1.024,7,7,5,9601,42605,7000,15445,0,34160,0.08
1,11,1988,small,famiclone,thrift,6.30,37.1,38.0,0.976,6,6,5,5185,20413,6500,14546,0,12367,0.04
1,12,1989,small,famiclone,thrift,7.70,39.6,38.0,1.041,3,7,5,217259,1123297,7100,15734,0,1114663,1.81
1,13,1989,small,famiclone,thrift,6.80,37.9,38.0,0.999,1,4,0,105066,546149,4000,18385,9599,531764,0.88
1,16,1989,small,famiclone,meridian,3.30,20.1,38.0,0.529,2,3,2,305,0,8000,25294,15838,-17294,0.00
1,15,1989,medium,famiclone,meridian,6.80,154.8,166.0,0.933,0,7,1,30904,166795,24400,119173,90435,72022,0.26
1,14,1989,medium,famiclone,thrift,8.30,170.9,166.0,1.030,0,9,1,348196,2669629,14500,111677,79513,2572452,2.90
1,17,1990,medium,famiclone,meridian,5.70,137.3,166.0,0.827,0,6,1,3398,0,23100,121007,93832,-97907,0.03
1,20,1990,small,famiclone,meridian,4.40,22.9,38.0,0.603,1,3,0,1246,0,6900,27821,19714,-20921,0.01
1,19,1990,medium,famiclone,meridian,7.20,142.9,166.0,0.861,3,6,0,37354,211156,21100,104274,79436,127982,0.31
1,21,1990,medium,famiclone,meridian,6.90,140.7,166.0,0.847,0,6,1,20414,104901,22300,100941,74680,26260,0.17
1,22,1990,small,famiclone,meridian,6.10,30.7,38.0,0.807,1,3,2,8253,27036,8200,38875,29278,-3639,0.07
1,18,1990,small,famiclone,meridian,7.60,37.1,38.0,0.975,2,4,2,281353,1175038,8800,31111,20737,1152727,2.34
1,24,1990,medium,famiclone,meridian,6.00,128.2,166.0,0.772,3,7,1,11164,50801,19900,75518,52162,-4817,0.09
1,25,1990,medium,famiclone,meridian,6.10,132.7,166.0,0.800,1,6,0,9086,38441,19200,74341,51695,-16700,0.08
1,23,1990,medium,famiclone,meridian,8.10,159.9,166.0,0.963,0,6,1,146278,896263,21700,93881,68352,824082,1.22
1,26,1990,medium,famiclone,meridian,6.50,127.8,166.0,0.770,1,6,1,17630,93282,18800,78225,56110,33857,0.15
1,27,1990,medium,famiclone,meridian,7.60,152.0,166.0,0.916,2,6,0,93670,578983,18600,67712,45794,529871,0.78
1,29,1991,medium,famiclone,northgate,6.10,147.4,166.0,0.888,0,7,1,7920,7691,34200,78247,51975,-36356,0.07
1,28,1991,medium,famiclone,northgate,7.80,140.8,166.0,0.848,1,6,1,61570,292620,29900,86424,63392,236096,0.51
1,30,1991,medium,famiclone,northgate,6.90,146.8,166.0,0.884,1,6,1,15168,49129,31300,90559,66464,-10130,0.13
1,31,1991,medium,famiclone,northgate,7.50,153.0,166.0,0.922,0,7,1,52693,246446,34600,78617,51975,202429,0.44
1,32,1991,medium,famiclone,northgate,7.30,149.1,166.0,0.898,2,6,1,25098,103678,31300,93231,69136,41747,0.21
1,33,1991,medium,famiclone,northgate,8.00,144.6,166.0,0.871,0,6,0,167213,877542,28400,62295,40425,843647,1.39
1,35,1991,medium,famiclone,northgate,6.90,130.4,166.0,0.785,1,6,0,38038,182240,28400,62295,40425,148345,0.32
1,34,1991,medium,famiclone,northgate,8.40,169.4,166.0,1.020,2,6,1,160526,847311,31300,93231,69136,785380,1.34
1,36,1991,medium,famiclone,northgate,6.60,147.5,166.0,0.889,1,6,1,11699,33846,31300,93231,69136,-28085,0.10
1,37,1991,medium,famiclone,northgate,7.20,142.3,166.0,0.857,2,6,0,61769,317080,28400,62780,40910,282700,0.51
1,39,1991,medium,famiclone,atlas,6.80,134.4,166.0,0.809,2,6,0,23901,66335,41600,65690,43820,42245,0.20
1,38,1991,medium,famiclone,northgate,8.80,172.4,166.0,1.039,1,6,1,201745,1104681,31300,101715,77620,1034266,1.68
1,40,1992,medium,famiclone,atlas,6.90,137.1,166.0,0.826,3,6,0,15682,28871,42400,92720,70392,-21449,0.13
1,41,1992,medium,ibm_compatible,atlas,8.20,144.8,166.0,0.873,0,6,1,426741,2138174,31500,66655,50080,2103019,4.74
