seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
3,1986,-799,1,0,bedroom,1,0,2,4.70,0.4,0
3,1987,1574812,12,40275,studio_building,1,40280,6,6.75,13.1,36094
3,1988,2540009,16,58850,studio_building,2,41420,21,7.00,46.6,70346
3,1989,9935912,20,78925,campus,2,123200,31,7.26,78.9,292330
3,1990,35904780,20,112350,campus,2,126500,42,7.34,100.0,634760
3,1991,57140169,20,140275,campus,2,130900,54,7.48,100.0,934306
3,1992,69155548,20,159950,campus,2,135300,66,7.57,100.0,1155650
3,1993,79481457,20,182950,campus,2,139700,78,7.63,100.0,1316274
3,1994,87492887,20,251050,campus,2,144100,80,7.66,100.0,1464840
3,1995,88326083,20,259650,campus,2,148500,82,7.67,100.0,1527555
3,1996,88472163,20,264625,campus,2,152900,84,7.67,100.0,1571775
3,1996,88472163,20,264625,campus,2,152900,84,7.67,100.0,1571775
