seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
1,1986,1511,1,0,bedroom,1,0,2,4.10,0.8,0
1,1987,1902,1,0,bedroom,1,0,6,4.58,1.0,10
1,1988,6283,1,0,bedroom,1,0,7,4.79,2.1,24
1,1989,4603,1,0,bedroom,1,0,7,4.79,2.1,24
1,1990,10202,1,0,bedroom,1,0,8,4.91,3.1,78
1,1991,2040858,13,64125,studio_building,2,45220,13,5.99,13.3,39335
1,1992,4420315,16,86575,studio_building,2,46740,24,6.67,35.9,76138
1,1993,6027209,20,106425,campus,2,139700,35,6.87,63.5,136633
1,1994,7789624,20,138575,campus,2,144100,37,6.89,68.8,178472
1,1995,11688309,20,172000,campus,2,148500,41,6.95,81.9,231015
1,1996,12274910,20,186375,campus,2,152900,43,6.95,86.6,262909
1,1997,17615404,20,237800,campus,2,157300,45,6.96,92.7,311875
1,1997,17615404,20,237800,campus,2,157300,45,6.96,92.7,311875
