seed,year,cash,staff,payroll_mo,office,teams,rent_mo,released,avg_review,consumer_rep,fans
4,1986,1518,1,0,bedroom,1,0,2,4.65,0.8,0
4,1987,85800,2,5050,shared_workspace,1,901,6,5.97,4.6,987
4,1988,1684566,12,43100,large_studio_floor,1,8502,13,7.27,21.5,30381
4,1989,3929177,18,78750,campus,2,123200,19,7.48,38.7,111712
4,1990,19596218,20,89925,campus,2,126500,29,7.44,60.2,274219
4,1991,29379386,20,99800,campus,2,130900,39,7.28,78.7,357517
4,1992,37078930,20,137675,campus,2,135300,49,7.35,100.0,437048
4,1993,45452680,20,171400,campus,2,139700,59,7.33,100.0,508796
4,1994,48663914,20,224850,campus,2,144100,62,7.32,100.0,546155
4,1995,51420527,20,245650,campus,2,148500,65,7.35,100.0,590689
4,1996,53575118,20,286800,campus,2,152900,67,7.37,100.0,634351
4,1997,57686515,20,321125,campus,2,157300,69,7.39,100.0,677859
4,1997,57686515,20,321125,campus,2,157300,69,7.39,100.0,677859
